Intercept,input1,input2,input3,input4,input5,input6,input7
1.4823076576950256e-21,1.7895470260525712e-14,6.074607623436297e-25,9.863114684049234e-10,3.972958238655205e-15,9.305990941173185e-10,9.138668486953096e-10,9.305990941173196e-10
-8.673617379884035e-19,1.475605022329701e-14,1.6940658945086007e-21,1.422787375116449e-14,3.2759797563612853e-15,1.3997571819083371e-14,1.3745895884081016e-14,6.8599100767031185e-06
2.117582368135751e-21,4.734118567898618e-15,-6.203854594147708e-25,7.271647623516007e-11,1.5854817679384873e-09,6.860917666574905e-11,6.737557823498567e-11,6.860917666574983e-11
2.117582368135751e-22,2.830153647828487e-15,0.0,1.5598433343706122e-10,6.283200210242088e-16,1.4717346806052644e-10,1.4452727744765822e-10,1.4717346806052654e-10
4.408103815583578e-39,7.979004719626742e-32,-4.484155085839415e-43,7.693404786101672e-32,1.7714120989324775e-32,4.149236905134306e-27,4.0746332969321985e-27,4.1492369051343095e-27
1.3552527156068805e-20,1.4756051529900914e-14,-1.2407709188295415e-24,1.4227874453453755e-14,3.2759785329611593e-15,1.3435084250445187e-08,1.374589426942446e-14,1.3997571710205723e-14
3.0357660829594124e-18,7.960993146299944e-15,8.470329472543003e-22,7.676038183184905e-15,1.7674123832354819e-15,7.551790533277087e-15,6.654453518845005e-06,7.551789792123258e-15
1.3234889800848443e-23,6.284353721322369e-12,4.430242843721202e-27,6.059412006616253e-12,1.3951840621861292e-12,5.96132994855646e-12,5.8541447639035234e-12,5.961329948556461e-12
2.9116757561866574e-22,8.025397815859095e-16,-1.6802106192483375e-25,1.232708140322307e-11,2.687748888367264e-10,1.1630801567332515e-11,1.1421678833913291e-11,1.1630801567332673e-11
2.8888949165808538e-34,2.797679080169513e-22,-1.3224311446750734e-38,2.6975391521200225e-22,6.211103697935578e-23,2.65387481778397e-22,2.606157938355272e-22,2.65387481778397e-22
