Intercept,input1,input2,input3,input4,input5,input6,input7
8.470329472543003e-22,7.445255049356519e-10,0.0,2.1419766598143766e-09,3.8813678733371465e-17,2.126075393461405e-09,2.1135302470913467e-09,2.1260753934614036e-09
2.710505431213761e-20,1.3411115437087545e-10,-2.6469779601696886e-23,4.1143812128899377e-16,6.991522443200302e-18,1.4329962979467466e-15,1.4245406955978295e-15,2.2238955571155301e-07
0.0,7.619547787491015e-11,-2.5849394142282115e-26,2.1582962277410058e-10,2.1590195818153728e-10,2.1422739005921367e-10,2.1296331731135448e-10,2.142273900592135e-10
3.3881317890172014e-21,1.1818112027540795e-09,0.0,3.400033975767128e-09,6.161030109667342e-17,3.3747933431906243e-09,3.354879996472426e-09,3.3747933431906222e-09
-1.4693679385278594e-39,1.5285420847482442e-27,1.4349296274686127e-42,4.689397598825105e-33,7.968611345405125e-35,4.3649219438551176e-27,4.3391662322524425e-27,4.364921943855118e-27
-1.0587911840678754e-22,1.341111543708474e-10,0.0,4.114381485213305e-16,6.991496348236916e-18,4.355493130597729e-10,1.4245407234634764e-15,1.4329962788117326e-15
-1.3552527156068805e-20,7.324391606576907e-11,7.940933880509066e-23,2.2470426521835266e-16,3.818364969218282e-18,7.82621392188976e-16,2.18382517415294e-07,7.826213061621923e-16
1.2407709188295415e-24,3.862200860134333e-12,-2.8842726847143244e-28,1.1848803915853572e-17,2.0134464699320382e-19,4.126815168036481e-17,4.102464432197092e-17,4.126815168007628e-17
1.0587911840678754e-22,1.1906575628257383e-10,2.5849394142282115e-26,3.3726302374491417e-10,3.3737605761821775e-10,3.3475931807550553e-10,3.3278403316467233e-10,3.3475931807550553e-10
1.2924697071141057e-25,4.217337787505357e-13,-3.6936254845436164e-29,1.2938324623929706e-18,2.1985868123164685e-20,4.5062838988900436e-18,4.47969406522933e-18,4.5062838988436456e-18
