Intercept,input1,input2,input3,input4,input5,input6,input7
2.117582368135751e-22,2.598956193881265e-14,-1.1502980393315541e-24,8.806285282211669e-10,6.32186450559086e-15,8.316788447605563e-10,8.169700165125254e-10,8.316788447605564e-10
5.204170427930421e-18,2.1100979834905565e-14,-4.235164736271502e-21,2.0444976072956153e-14,5.132732622071059e-15,2.0114776319155503e-14,1.9759031931020014e-14,6.7455766161320644e-06
0.0,7.32182210697716e-15,-2.0679515313825692e-25,6.330826646400125e-11,1.5459441804636616e-09,5.97894886756794e-11,5.873206930580167e-11,5.978948867567908e-11
0.0,4.110227473958445e-15,-7.431700815906108e-26,1.3927066487667044e-10,9.997975817209007e-16,1.3152931339577723e-10,1.2920312451588954e-10,1.3152931339577735e-10
4.408103815583578e-39,1.2978685823897237e-31,-5.0222536961401444e-42,1.2575195642237e-31,3.157017168082744e-32,4.15324369759074e-27,4.079790647047334e-27,4.153243697590738e-27
7.623296525288703e-21,2.1100979577155525e-14,-4.963083675318166e-24,2.0444978023861628e-14,5.132734983671708e-15,1.3211169333240666e-08,1.9759034681188756e-14,2.0114778760372286e-14
1.734723475976807e-18,1.13875411572685e-14,-8.470329472543003e-22,1.1033514274889087e-14,2.7699778908415313e-15,1.085531929509399e-14,6.5455058867191604e-06,1.0855316859874266e-14
6.617444900424222e-24,6.284328616042031e-12,-3.0292258760486853e-27,6.0889571487563185e-12,1.528639617352849e-12,5.9906166595003736e-12,5.884668369364716e-12,5.990616659500379e-12
-5.293955920339377e-23,1.24121384603185e-15,-6.462348535570529e-26,1.0732177830989716e-11,2.6207237677174326e-10,1.0135665699458234e-11,9.95640928709205e-12,1.0135665699458125e-11
5.7777898331617076e-34,4.413940257720843e-22,-4.584427968206921e-37,4.27671669139412e-22,1.0736745894154546e-22,4.207645025825468e-22,4.13322984933824e-22,4.2076450258254695e-22
