Intercept,input1,input2,input3,input4,input5,input6,input7
-2.117582368135751e-22,1.959433386438086e-12,-4.52364397489937e-26,1.8306610542227e-10,3.841301399470034e-13,1.7233692472235662e-10,1.6909368485962283e-10,1.7233692472235626e-10
-1.0842021724855044e-19,1.0477647091496952e-12,7.940933880509066e-23,1.0037428460340215e-12,2.0540530217077935e-13,9.871152176470227e-13,9.68538518008695e-13,7.186201600163041e-07
0.0,5.315588029749267e-13,-5.169878828456423e-26,1.537188277720821e-11,2.8469236003764726e-10,1.448589950778662e-11,1.4213286735991355e-11,1.4485899507786323e-11
5.293955920339377e-23,1.9209104470353035e-12,-5.169878828456423e-26,1.7946698103523878e-10,3.765780474868121e-13,1.6894873865086376e-10,1.6576926167671074e-10,1.6894873865086324e-10
-2.938735877055719e-39,4.755659728010618e-29,-5.3809861030072976e-43,4.5558505519364376e-29,9.323063746426783e-30,4.182718219583501e-27,4.104002886312989e-27,4.182718219583499e-27
-3.1763735522036263e-22,1.047764709993587e-12,-2.8434333556510326e-25,1.0037428464863213e-12,2.054053010745324e-13,1.4083961023238337e-09,9.685385177964619e-13,9.871152182343339e-13
-2.710505431213761e-19,5.647934685291425e-13,3.970466940254533e-23,5.410636549201258e-13,1.1072292355098296e-13,5.321005969506517e-13,6.965011707637559e-07,5.321005967967961e-13
-1.6543612251060553e-24,5.939148483607206e-12,-1.4515040656066617e-27,5.68961499446792e-12,1.1643192128747423e-12,5.5953629623335244e-12,5.490062811276862e-12,5.595362962333505e-12
-1.3234889800848443e-22,5.183358694976113e-13,-1.550963648536927e-25,1.498949538705199e-11,2.7761041892932357e-10,1.4125551631919237e-11,1.3859720312197319e-11,1.4125551631919008e-11
-7.395570986446986e-32,7.142090723319701e-20,-5.040519776325969e-35,6.842015582437412e-20,1.40014574011879e-20,6.728673313555072e-20,6.602045189321143e-20,6.728673313555055e-20
