Intercept,input1,input2,input3,input4,input5,input6,input7
1.0587911840678754e-22,1.9409227814113236e-12,-7.754818242684634e-26,1.7323935427573705e-10,4.2520789160542375e-13,1.617007591208909e-10,1.5823219846848084e-10,1.6170075912089126e-10
0.0,1.1015911391736645e-12,-1.9852334701272664e-22,1.0623798373943326e-12,2.4133121129880575e-13,1.0422984597000926e-12,1.0199406459554775e-12,8.213005263968279e-07
2.6469779601696886e-23,5.68537428058849e-13,9.04728794979874e-26,1.4187191518470836e-11,2.995734757511077e-10,1.3261303416251473e-11,1.2976841948789377e-11,1.3261303416251483e-11
1.5881867761018131e-22,1.7545463495226057e-12,-1.2924697071141057e-25,1.5660410581462015e-10,3.8437745238993296e-13,1.4617350022770773e-10,1.4303800689996264e-10,1.4617350022770799e-10
7.346839692639297e-40,4.9807167027815106e-29,-3.587324068671532e-43,4.803427344274291e-29,1.0911511102640064e-29,4.149498782327788e-27,4.0604899967051715e-27,4.149498782327791e-27
3.1763735522036263e-22,1.1015911393138003e-12,-2.0679515313825692e-25,1.0623798373888525e-12,2.4133121123904195e-13,1.6095497229955784e-09,1.0199406461300126e-12,1.0422984596918079e-12
-1.0842021724855044e-19,5.922159321462365e-13,-1.5881867761018131e-22,5.71135916779492e-13,1.2973977650506127e-13,5.603401578104592e-13,7.938863396626057e-07,5.603401584788211e-13
6.617444900424222e-24,5.938903234763015e-12,-6.462348535570529e-27,5.727507082852589e-12,1.3010659399166313e-12,5.6192442667191e-12,5.498708719045818e-12,5.619244266719114e-12
0.0,5.12305714764298e-13,9.04728794979874e-26,1.2783994390981785e-11,2.6994388767522916e-10,1.194968209668167e-11,1.1693355550321127e-11,1.1949682096681767e-11
9.860761315262648e-32,9.999249428830584e-20,-9.62964972193618e-35,9.643324644793999e-20,2.1905867703704778e-20,9.461044035126914e-20,9.258099996710701e-20,9.461044035126921e-20
