Intercept,input1,input2,input3,input4,input5,input6,input7
3.3881317890172014e-21,2.685647285375448e-10,-8.271806125530277e-24,1.2154289073381605e-08,2.9108939899500295e-11,1.1855353445518352e-08,1.1765669110117826e-08,1.1855353445518369e-08
-5.204170427930421e-18,1.625053475096095e-10,1.5670109524204556e-20,1.4754320026250977e-10,1.7613475981793258e-11,1.464893326157371e-10,1.4538115827232614e-10,2.8559415210767294e-05
0.0,4.6778425766228815e-11,2.481541837659083e-24,1.0224181757449046e-09,9.634336150681312e-09,9.976628221108956e-10,9.901156218046329e-10,9.976628221108948e-10
2.117582368135751e-22,7.804746727309481e-12,3.877409121342317e-26,3.5321521327394536e-10,8.459335097842419e-13,3.445278592943415e-10,3.419215471139598e-10,3.4452785929434176e-10
1.4693679385278594e-39,9.915916005069022e-29,1.793662034335766e-42,9.00294053946405e-29,1.0747569295929099e-29,4.3772199579712216e-27,4.344106810848558e-27,4.37721995797122e-27
1.3552527156068805e-20,1.6250534751196524e-10,-6.617444900424222e-24,1.4754320026985018e-10,1.761347597590125e-11,5.607955232262604e-08,1.453811582716735e-10,1.4648933260817584e-10
6.938893903907228e-18,8.860263343607616e-11,-8.470329472543003e-21,8.04448363713508e-11,9.603378462368239e-12,7.987023712670448e-11,2.7997813247078505e-05,7.987023712797503e-11
4.963083675318166e-24,5.91934903349086e-12,3.0292258760486853e-27,5.374344372583449e-12,6.415808069744928e-13,5.335956647992249e-12,5.295590772111749e-12,5.335956647992254e-12
2.6469779601696886e-23,1.4889316029933775e-12,1.2924697071141057e-26,3.254300905612007e-11,3.0665562882124775e-10,3.175505974476105e-11,3.15148365036827e-11,3.175505974476114e-11
3.1554436208840472e-30,9.583488910669725e-18,0.0,8.701120580213419e-18,1.0387261359569666e-18,8.638970446669322e-18,8.573617665192586e-18,8.638970446669328e-18
