Intercept,input1,input2,input3,input4,input5,input6,input7
-2.117582368135751e-22,2.297749612500205e-12,4.1359030627651384e-25,9.289437107866811e-10,5.683386518549138e-13,8.748636328782916e-10,8.586099477424169e-10,8.748636328782914e-10
-3.469446951953614e-18,1.7786094891737947e-12,3.8116482626443515e-21,1.7262260590258856e-12,4.399315377229157e-13,1.697011222248507e-12,1.6654832437360207e-12,7.092562141481391e-06
5.293955920339377e-22,6.732805365238801e-13,4.1359030627651384e-25,6.651969405200576e-11,1.689568638913117e-09,6.266757179335469e-11,6.1503300080736e-11,6.266757179335438e-11
-1.5881867761018131e-22,3.2878787623731234e-13,1.0339757656912846e-25,1.3292372160656566e-10,8.13242910847701e-14,1.2518533537617875e-10,1.2285957516811184e-10,1.2518533537617877e-10
-7.346839692639297e-40,1.0903583171382032e-29,4.304788882405838e-42,1.0582451919830088e-29,2.6969551975114645e-30,4.1515177862774925e-27,4.074388665351372e-27,4.151517786277495e-27
0.0,1.7786094882094743e-12,4.963083675318166e-24,1.7262260577367246e-12,4.399315370220869e-13,1.3892410879654414e-08,1.6654832407461763e-12,1.6970112241551584e-12
-8.673617379884035e-19,9.589876297396213e-13,8.470329472543003e-22,9.307436258799415e-13,2.372015368911639e-13,9.14991620339957e-13,6.875943987122196e-06,9.149916192811657e-13
-3.308722450212111e-24,5.948001819683197e-12,6.462348535570529e-27,5.77282185924346e-12,1.471213102173992e-12,5.675122007508134e-12,5.569686551339687e-12,5.6751220075081376e-12
-7.940933880509066e-23,1.0375973270747804e-13,7.754818242684634e-26,1.0251396409373658e-11,2.603806004399684e-10,9.657743163465376e-12,9.47831643842738e-12,9.657743163465201e-12
0.0,1.3604537713009637e-19,1.4444474582904269e-34,1.3203858215824673e-19,3.365024883846802e-20,1.2980394713663293e-19,1.273923798856186e-19,1.2980394713663283e-19
