Intercept,input1,input2,input3,input4,input5,input6,input7
-1.6940658945086007e-21,1.4001110770629545e-11,0.0,4.528190773598655e-09,3.128546394413152e-12,4.041205516165226e-09,3.903812147886309e-09,4.041205516165219e-09
0.0,7.30303393342975e-12,2.964615315390051e-21,7.237368234015442e-12,1.6318619923833474e-12,7.0028221179978465e-12,6.764739368864612e-12,1.1892811616211415e-05
2.710505431213761e-20,5.013526943533502e-12,-1.9852334701272664e-23,4.639125632522547e-10,5.542355579262879e-08,4.14288313219862e-10,4.0020329166767625e-10,4.142883132198799e-10
1.3234889800848443e-23,1.0659899731443938e-13,-1.6155871338926322e-26,3.44758786657635e-11,2.3819532189959223e-14,3.076816282808737e-11,2.972210330208821e-11,3.0768162828087344e-11
-7.346839692639297e-40,8.733726066197377e-30,-2.6904930515036488e-43,8.655196202271068e-30,1.951549962129228e-30,2.520855847339923e-27,2.435151501340642e-27,2.5208558473399194e-27
-2.0328790734103208e-20,7.30303393370216e-12,-8.271806125530277e-24,7.237368230792075e-12,1.631861989800993e-12,1.0627890511352566e-07,6.764739369241483e-12,7.002822118191303e-12
1.6263032587282567e-19,3.875771294634491e-12,-3.5072457972248373e-22,3.8409220455752854e-12,8.660405953342504e-13,3.7164467799674095e-12,8.826084666974733e-07,3.71644677984478e-12
-1.6543612251060553e-24,4.0342417693835485e-12,0.0,3.997967623069178e-12,9.014508026222542e-13,3.8684028787534774e-12,3.73688447434525e-12,3.8684028787534774e-12
1.0587911840678754e-22,3.008739074795237e-14,5.169878828456423e-26,2.784051770475034e-12,3.3261019608685255e-10,2.4862446143318597e-12,2.401716984998998e-12,2.4862446143319118e-12
3.944304526105059e-30,2.2644537958494833e-18,-1.1555579666323415e-33,2.2440928127928508e-18,5.059919083831818e-19,2.171367033366206e-18,2.0975446481173914e-18,2.1713670333662038e-18
