Intercept,input1,input2,input3,input4,input5,input6,input7
-4.336808689942018e-19,2.2466364338785086e-07,-3.1763735522036263e-22,1.7326512569227657e-06,2.466152054946087e-13,2.1955505814126028e-07,1.0732738889153591e-07,2.1955505814126054e-07
0.0,1.2872287040386781e-06,-2.710505431213761e-20,6.047761272150371e-12,1.4130018837388465e-12,1.0607160929357014e-10,5.1852090817653546e-11,0.00035334336008665753
1.734723475976807e-18,1.1223524718973593e-07,6.776263578034403e-21,4.6878923626418893e-07,2.7541802806584048e-05,5.9407419893785495e-08,2.9040748648478327e-08,5.940741989377194e-08
0.0,9.160412417429711e-12,-1.0905213153775267e-26,7.064694513829264e-11,1.0055463147016258e-17,8.952115485079239e-12,4.37615597747175e-12,8.952115485079207e-12
1.8367099231598242e-40,3.651328375192177e-28,0.0,1.7154964501907412e-33,4.008094419346552e-34,3.568301491150401e-28,1.744330033045915e-28,3.5683014911503984e-28
-2.168404344971009e-18,1.287228704038663e-06,5.293955920339377e-22,6.0477613780559595e-12,1.4130019705597236e-12,3.1575160339101825e-06,5.1852090955825795e-11,1.0607160914171302e-10
7.806255641895632e-18,3.45700240469617e-07,-6.3527471044072525e-21,1.624196664283271e-12,3.794781124041505e-13,2.8486764369937907e-11,1.3269924184064051e-05,2.848676436962027e-11
2.0679515313825692e-25,2.7829483826546707e-12,1.0074000278705202e-27,1.3075071813829591e-17,3.0548662676873405e-18,2.293235166188694e-16,1.1210260632865307e-16,2.293235166192426e-16
1.3234889800848443e-22,1.5505600835612905e-12,0.0,6.476449204283182e-12,3.80497402825821e-10,8.207294612088623e-13,4.0120574221178397e-13,8.207294612087266e-13
2.0679515313825692e-24,2.7622468029491562e-12,6.134626133257775e-28,1.2977809987167751e-17,3.032141965830535e-18,2.276176427019083e-16,1.1126870618998397e-16,2.2761764270238253e-16
