Intercept,input1,input2,input3,input4,input5,input6,input7
1.3234889800848443e-23,4.1843788469266264e-16,-9.693522803355793e-27,3.4070684219803556e-11,6.428171630423795e-17,2.687665453064362e-11,2.5111556143559164e-11,2.687665453064355e-11
2.710505431213761e-19,9.395899588949309e-16,-5.293955920339377e-23,9.29197601518748e-16,1.4434272075984404e-16,8.73158449321969e-16,8.15814489192059e-16,2.3752138539316661e-07
-5.293955920339377e-23,9.491569056308844e-17,-8.077935669463161e-26,2.9837963950071134e-12,2.2888302848793493e-10,2.3537760656113755e-12,2.1991940906772088e-12,2.3537760656113383e-12
0.0,6.645164228421005e-16,1.2924697071141057e-26,5.4107264255228257e-11,1.0208505907196604e-16,4.268250791807542e-11,3.9879375340804115e-11,4.2682507918075317e-11
1.4693679385278594e-39,3.458473126456176e-32,-1.0761972206014595e-42,3.420220424491716e-32,5.313012910698913e-33,2.2214094569780368e-27,2.075520531513168e-27,2.221409456978033e-27
-1.2705494208814505e-21,9.395900116287362e-16,2.5849394142282115e-25,9.291976067338632e-16,1.4434271196781885e-16,2.122448032461129e-09,8.158145904182865e-16,8.731584286683031e-16
0.0,4.82295999113934e-16,-6.617444900424222e-24,4.7696152952032e-16,7.409179707035525e-17,4.481963489477971e-16,1.7049247248630102e-08,4.481963526701099e-16
1.6543612251060553e-24,4.037474690861358e-12,8.077935669463161e-28,3.9928178982831474e-12,6.202492941103485e-13,3.752014190149009e-12,3.5056042737734745e-12,3.7520141901490006e-12
2.117582368135751e-22,1.483881268007386e-16,-1.6155871338926322e-25,4.66477096795288e-12,3.578283384664732e-10,3.6798175218318685e-12,3.438149052076927e-12,3.679817521831957e-12
-6.018531076210112e-36,1.2980415864168131e-23,-2.938735877055719e-39,1.2836844997919177e-23,1.9940914540547687e-24,1.2062664968929825e-23,1.1270461071070365e-23,1.2062664968929806e-23
