Intercept,input1,input2,input3,input4,input5,input6,input7
6.617444900424222e-24,3.763014291172331e-14,-9.693522803355793e-27,2.0938520947606962e-11,8.642131656113036e-15,1.9701118341111248e-11,1.9339777940018092e-11,1.9701118341111248e-11
2.0328790734103208e-20,1.9921980358003313e-14,-1.9852334701272664e-23,1.9807333642384417e-14,4.5752782894182695e-15,1.9425309243941822e-14,1.906902751204259e-14,6.313535069706277e-08
-2.6469779601696886e-23,1.1429375016159685e-14,-9.04728794979874e-26,1.6816129783517026e-12,2.242352836736243e-10,1.5825681504382429e-12,1.553542092103216e-12,1.5825681504382477e-12
3.970466940254533e-23,5.5661815291032315e-14,-6.462348535570529e-27,3.097187507863255e-11,1.2783282197248572e-14,2.9141531901755036e-11,2.8607043826330592e-11,2.9141531901755017e-11
1.4693679385278594e-39,5.0698552465248244e-30,-8.519894663094888e-43,5.040679313845851e-30,1.164342017533448e-30,2.6543034507840344e-27,2.605620576191691e-27,2.6543034507840334e-27
3.1763735522036263e-22,1.992198036552246e-14,1.4217166778255163e-25,1.9807333628891034e-14,4.575278323067718e-15,5.641850678267157e-10,1.9069027495577333e-14,1.9425309251425222e-14
0.0,1.07440979840006e-14,-1.1890721305449773e-24,1.0682267999385301e-14,2.467487554918504e-15,1.0476238912927097e-14,4.761437299542661e-09,1.0476238915402176e-14
-1.6543612251060553e-24,3.763342488122076e-12,-2.0194839173657902e-27,3.741685256949621e-12,8.642885392629777e-13,3.669519310345006e-12,3.6022162488405127e-12,3.669519310345003e-12
2.6469779601696886e-23,1.666439586177535e-14,-7.754818242684634e-26,2.451845732404934e-12,3.269422455746617e-10,2.30743519218996e-12,2.265114266879917e-12,2.307435192189918e-12
2.311115933264683e-33,1.2849476732221984e-21,-1.316553672920962e-36,1.2775530741679457e-21,2.951008448005357e-22,1.2529128864975038e-21,1.2299330719964648e-21,1.2529128864975044e-21
