Intercept,input1,input2,input3,input4,input5,input6,input7
1.6940658945086007e-21,9.512834296867896e-12,2.481541837659083e-24,1.5926074514891995e-09,1.891215018705051e-12,1.4916389675114937e-09,1.4620893812409694e-09,1.4916389675114925e-09
3.903127820947816e-18,9.282564511547727e-12,3.3881317890172014e-21,9.202416478637492e-12,1.8454358473898565e-12,9.014780243851549e-12,8.83619612298562e-12,6.829446061930431e-06
-8.470329472543003e-22,2.218029457770288e-12,-1.6543612251060553e-23,1.221735224658965e-10,1.2425710180193528e-08,1.1449177157129772e-10,1.1222367281885768e-10,1.1449177157129441e-10
1.3234889800848443e-23,2.408088992143758e-13,7.108583389127582e-26,4.031543442315711e-11,4.787441814074614e-14,3.7759507480329785e-11,3.7011486110464395e-11,3.7759507480329785e-11
3.6734198463196485e-39,1.6920356751643935e-29,3.587324068671532e-43,1.677426207754545e-29,3.363879976453469e-30,2.6531591623810954e-27,2.600599691044001e-27,2.653159162381091e-27
1.3552527156068805e-20,9.282564510754923e-12,-1.3234889800848443e-22,9.202416482145565e-12,1.8454358466983335e-12,6.103560103752928e-08,8.836196126209143e-12,9.014780242246818e-12
0.0,4.998676460397506e-12,1.1911400820763599e-21,4.955516613233318e-12,9.937702790291716e-13,4.854474185338165e-12,5.142842114933941e-07,4.854474185334856e-12
0.0,4.034280507830327e-12,1.2116903504194741e-26,3.999447501372271e-12,8.020419202071887e-13,3.9178992153980835e-12,3.840285058496718e-12,3.9178992153980835e-12
-5.293955920339377e-23,6.105038722034062e-14,-4.911384887033602e-25,3.362778085965869e-12,3.420127786540759e-10,3.1513409181669723e-12,3.088912393331381e-12,3.1513409181668947e-12
4.930380657631324e-32,9.568169784334087e-20,2.8888949165808538e-34,9.48555576697892e-20,1.9022160833389577e-20,9.292146348791962e-20,9.108067569575003e-20,9.29214634879196e-20
