Intercept,input1,input2,input3,input4,input5,input6,input7
1.0587911840678754e-22,2.5101589819756375e-11,-7.754818242684634e-26,1.8295031633880685e-10,8.434507678535714e-13,1.7605168222222843e-10,1.738492381390105e-10,1.760516822222287e-10
-3.3881317890172014e-21,8.721297757052469e-12,3.308722450212111e-24,8.192448569025625e-12,2.9304858149336724e-13,8.087287354409475e-12,7.986113665182215e-12,4.2817525021007473e-08
-2.6469779601696886e-23,3.239031134006401e-12,9.04728794979874e-26,1.8740192296572127e-11,2.508077484490481e-10,1.8051453024996074e-11,1.782562549863265e-11,1.805145302499616e-11
3.1763735522036263e-22,4.093367163278443e-11,-5.169878828456423e-26,2.9834079147579e-10,1.375432274116911e-12,2.870910489028917e-10,2.834994786661314e-10,2.8709104890289186e-10
-7.346839692639297e-40,4.435282713263686e-28,0.0,4.166332411721622e-28,1.4903209864442935e-29,3.1107152511378957e-27,3.07179954006394e-27,3.1107152511378985e-27
2.6469779601696886e-23,8.721297757067154e-12,7.754818242684634e-26,8.19244856903528e-12,2.930485814921512e-13,3.9062450476222063e-10,7.986113665181976e-12,8.087287354397293e-12
-1.6940658945086007e-21,4.731409918040816e-12,4.1359030627651384e-25,4.44450281280309e-12,1.589824133477466e-13,4.387451577104351e-12,3.2520347753961937e-09,4.3874515771044545e-12
1.6543612251060553e-24,3.7003207937694036e-12,-2.4233807008389483e-27,3.475937714352511e-12,1.2433628456286457e-13,3.4313193284124653e-12,3.3883927919710003e-12,3.431319328412466e-12
-3.705769144237564e-22,5.197320301837506e-12,2.3910689581610956e-25,3.007034444983499e-11,4.0244386328575417e-10,2.8965199593012527e-11,2.860283876999974e-11,2.89651995930127e-11
1.9721522630525295e-31,7.353954321089724e-19,0.0,6.908019222912375e-19,2.4710380750472615e-20,6.8193454050541125e-19,6.734033939982045e-19,6.819345405054118e-19
