Intercept,input1,input2,input3,input4,input5,input6,input7
8.470329472543003e-22,6.244332041042929e-10,-2.0679515313825692e-25,2.5861429641464627e-09,3.9519185523913735e-18,1.4227567387955031e-09,9.262887741884948e-10,1.4227567387955052e-09
-6.776263578034403e-21,6.816556479646895e-11,8.271806125530277e-24,2.1032194521335638e-16,4.3141067180305e-19,2.169205576927746e-16,1.4122658539497866e-16,2.6501423470538064e-08
1.5881867761018131e-22,6.139872427929538e-11,5.169878828456423e-26,2.5268539711149364e-10,2.5321005469208433e-10,1.390139129992516e-10,9.050530112142432e-11,1.3901391299925184e-10
-8.470329472543003e-22,1.0000944044537865e-09,4.1359030627651384e-25,4.141975619746878e-09,6.329408823809528e-18,2.2786921707812465e-09,1.4835473416297502e-09,2.278692170781249e-09
-1.4693679385278594e-39,6.799277565353153e-28,1.524612729185401e-42,2.0978881718751976e-33,4.303134744856998e-36,1.549199804152567e-27,1.0086097984511425e-27,1.5491998041525684e-27
-5.293955920339377e-23,6.816556479647115e-11,5.169878828456423e-26,2.1032195074512673e-16,4.314068977915052e-19,2.3681203332095855e-10,1.4122659252941145e-16,2.1692056768356545e-16
-9.529120656610879e-22,2.4381343670772744e-11,2.0679515313825692e-25,7.522759884699999e-17,1.5430479178157065e-19,7.758778111373291e-17,1.3255283754040554e-09,7.758778135930215e-17
0.0,1.5710712241515066e-12,-9.286341153769488e-28,4.847473442477787e-18,9.943011545893434e-21,4.999557512759067e-18,3.25497245844744e-18,4.999557511615522e-18
1.0587911840678754e-22,9.67912091027364e-11,1.0339757656912846e-25,3.983425616104214e-10,3.991696511336386e-10,2.1914664969411229e-10,1.4267588827906553e-10,2.1914664969411288e-10
-2.0679515313825692e-25,7.060702950345982e-13,-2.6622399251456975e-28,2.1785498653866214e-18,4.468584961100192e-21,2.2468994365210596e-18,1.4628486149086043e-18,2.2468994358764015e-18
