Intercept,input1,input2,input3,input4,input5,input6,input7
-2.117582368135751e-21,1.9861358044085603e-16,-4.1359030627651384e-25,2.5477330341519135e-09,4.789433512969355e-17,1.500642816419954e-09,1.3184732860979912e-09,1.5006428164199504e-09
-1.0408340855860843e-17,7.658679662374885e-16,3.8116482626443515e-21,7.604117581780498e-16,1.8470156264110448e-16,6.724472807265723e-16,5.908342798300811e-16,4.668870500872055e-05
1.6940658945086007e-21,5.992053645697051e-17,-7.031035206700735e-24,1.968867702224079e-10,2.625336460601172e-08,1.1596848913128247e-10,1.0189057201066165e-10,1.1596848913123201e-10
6.617444900424222e-24,2.4265812205715345e-18,0.0,3.1127182327362326e-11,5.851538064340842e-19,1.8334253208166097e-11,1.6108578811041003e-11,1.8334253208166065e-11
-3.6734198463196485e-40,2.1952502863936975e-34,-9.977245065992698e-43,2.1795840560947995e-34,5.293699042473464e-35,1.6586411543766045e-27,1.4572915215663763e-27,1.6586411543766012e-27
2.710505431213761e-20,7.658698585973602e-16,-1.0587911840678754e-22,7.604041481164143e-16,1.8468434404947357e-16,4.1720163292172727e-07,5.908270271104703e-16,6.724596834726769e-16
8.673617379884035e-19,3.6967775011306007e-16,-2.117582368135751e-22,3.6704171653927217e-16,8.9145373728848e-17,3.2459329566233335e-16,3.1514461765180155e-06,3.2459035751679756e-16
1.6543612251060553e-24,4.037487971104676e-12,4.0389678347315804e-28,4.008674742073694e-12,9.736131826631247e-13,3.545052398695014e-12,3.1147031354521527e-12,3.545052398695008e-12
0.0,7.440591318989793e-19,-2.261821987449685e-25,2.4448278822311e-12,3.2599934327049974e-10,1.4400307108908266e-12,1.265219146551898e-12,1.440030710890224e-12
1.2037062152420224e-35,2.8238929772733934e-23,0.0,2.8037404775766833e-23,6.809628781013928e-24,2.479474525840391e-23,2.1784803752835063e-23,2.4794745258403867e-23
