Intercept,input1,input2,input3,input4,input5,input6,input7
-5.421010862427522e-20,1.4871924607022335e-12,7.940933880509066e-23,4.097295409011716e-07,2.5832460085272293e-13,4.297620652588383e-08,3.299316848611244e-08,4.2976206525883734e-08
-1.1796119636642288e-16,3.65199158625019e-13,6.437450399132683e-20,2.772479477713887e-13,6.343490548365156e-14,2.635924146326702e-13,2.0236196980719992e-13,0.00010224595288122891
1.734723475976807e-18,8.239685205024894e-13,-1.852884572118782e-21,7.234607685931972e-08,7.131785784634107e-06,7.588683099731172e-09,5.825891122942723e-09,7.588683099729789e-09
-1.6543612251060553e-23,1.528242897690649e-16,6.462348535570529e-27,4.210391576124488e-11,2.6545504166922286e-17,4.416246325134093e-12,3.3903867013848124e-12,4.416246325134084e-12
-7.346839692639297e-40,1.0221157552117088e-32,8.96831017167883e-44,7.759587044899592e-33,1.775410052909465e-33,2.953663291843339e-28,2.2675503148548066e-28,2.9536632918433387e-28
-8.131516293641283e-19,3.651991615051e-13,0.0,2.77247920957502e-13,6.343491518317143e-14,9.136511844222812e-07,2.023619164838289e-13,2.635923711692921e-13
-1.734723475976807e-18,1.5402902581028048e-13,5.955700410381799e-22,1.1693407683613125e-13,2.6754764798811647e-14,1.1117461754836492e-13,6.030400321453028e-06,1.1117461690316405e-13
-6.617444900424222e-24,4.037479766976043e-12,1.0097419586828951e-28,3.06512990670847e-12,7.013082549374744e-13,2.914160205293789e-12,2.2372234876262105e-12,2.9141602052937886e-12
-5.293955920339377e-23,3.957518172171677e-17,-1.1309109937248425e-26,3.4747797635191008e-12,3.425394437128632e-10,3.644842071807756e-13,2.7981736477353046e-13,3.6448420718059705e-13
-4.930380657631324e-31,2.48988050297812e-19,2.7083389842945504e-35,1.890240356430212e-19,4.324910219560704e-20,1.79713858557617e-19,1.3796772898300618e-19,1.797138585576167e-19
