Intercept,input1,input2,input3,input4,input5,input6,input7
-3.1763735522036263e-22,1.0406179569769365e-14,-1.1309109937248425e-25,2.6598125967140485e-10,1.9751003102278246e-15,2.3194383058154062e-10,2.2258478111145526e-10,2.3194383058154057e-10
4.336808689942018e-19,1.351191342758159e-14,-5.293955920339377e-22,1.3398851278702548e-14,2.564570958529375e-15,1.288989802696694e-14,1.2369783963061484e-14,1.4208351889352535e-06
-2.117582368135751e-22,2.4136936383550342e-15,8.271806125530277e-25,2.0614837866687134e-11,2.0338492894608696e-09,1.7976915416125843e-11,1.7251537895727022e-11,1.7976915416126062e-11
-1.3234889800848443e-23,1.6457971096947794e-15,-3.150394911090633e-26,4.206646497589289e-11,3.123734662013422e-16,3.6683249931167127e-11,3.520306246522547e-11,3.668324993116713e-11
-1.4693679385278594e-39,1.101757751427852e-31,-1.9730282377693424e-42,1.09253862787533e-31,2.0911440765115185e-32,2.455713083979985e-27,2.3566238338814597e-27,2.4557130839799865e-27
-1.6940658945086007e-21,1.3511914120675623e-14,-4.8596860987490376e-24,1.3398851159666088e-14,2.56457094167557e-15,1.26963332205033e-08,1.2369784540847142e-14,1.2889898377549349e-14
0.0,7.123712196665243e-15,1.9852334701272664e-23,7.0641034937299126e-15,1.3520856527996518e-15,6.7957748901573575e-15,1.0475154417973128e-07,6.7957748798176e-15
-4.963083675318166e-24,4.037463208152222e-12,-2.0194839173657902e-27,4.003679127921707e-12,7.663133988434165e-13,3.851600151696233e-12,3.696186160867785e-12,3.85160015169623e-12
2.6469779601696886e-23,4.091948185873572e-16,0.0,3.4948448746110685e-12,3.447995958527575e-10,3.0476364213802416e-12,2.9246627688238517e-12,3.0476364213802997e-12
-9.62964972193618e-35,1.7624950205881413e-22,-4.1142302278780063e-38,1.7477470785979306e-22,3.3452281297434365e-23,1.6813592443280508e-22,1.6135155586167413e-22,1.6813592443280513e-22
