Intercept,input1,input2,input3,input4,input5,input6,input7
-2.6469779601696886e-23,1.183794914962758e-12,-2.5849394142282115e-26,4.796016088810603e-11,1.9947872674429485e-13,4.170336471892731e-11,3.995814189690838e-11,4.170336471892733e-11
-1.3552527156068805e-20,9.897037910151574e-13,-5.293955920339377e-23,9.805717856657063e-13,1.6677285028478372e-13,9.42116589553083e-13,9.026904332607195e-13,1.4758961351454757e-07
1.0587911840678754e-22,2.9008684386834516e-13,5.169878828456423e-26,4.267531268645454e-12,3.6017904560544045e-10,3.727916925676041e-12,3.5719092332241688e-12,3.727916925676312e-12
-1.3234889800848443e-23,1.1606297951392145e-12,-1.9387045606711586e-26,4.7021651303643914e-11,1.9557522238819573e-13,4.0887291403736705e-11,3.917622001730841e-11,4.0887291403736705e-11
1.4693679385278594e-39,7.124880387452258e-29,-2.5111268480700722e-42,7.059139054426146e-29,1.2005982201225962e-29,2.5099912292324342e-27,2.4049518875426863e-27,2.5099912292324357e-27
2.117582368135751e-22,9.897037910412645e-13,-1.550963648536927e-25,9.805717855920386e-13,1.6677285025911527e-13,1.3197671856960074e-09,9.026904333362869e-13,9.421165895763603e-13
1.6940658945086007e-21,5.209742661487195e-13,-2.0679515313825692e-24,5.161672320772025e-13,8.77882494370755e-14,4.959246426217521e-13,1.0864513183590416e-08,4.959246426220882e-13
0.0,3.759509998264361e-12,-2.4233807008389483e-27,3.724820966958449e-12,6.335069175895848e-13,3.5787442365119047e-12,3.428979195781403e-12,3.5787442365119067e-12
-1.852884572118782e-22,2.8289790810140145e-13,7.754818242684634e-26,4.1617732557536545e-12,3.512530840247007e-10,3.6355316421324046e-12,3.4833901342519524e-12,3.635531642132566e-12
1.232595164407831e-32,4.406453197693789e-20,-6.018531076210112e-36,4.365794815885144e-20,7.42521920160477e-21,4.194580940597681e-20,4.019044064000908e-20,4.1945809405976783e-20
