Intercept,input1,input2,input3,input4,input5,input6,input7
-6.617444900424222e-24,9.255322722117449e-15,2.4233807008389483e-27,2.0430997997431583e-11,2.143228443194505e-15,1.9353727525438524e-11,1.90395356689458e-11,1.9353727525438524e-11
0.0,4.6820202922812834e-15,1.6543612251060553e-23,4.653527255124168e-15,1.0842019582457258e-15,4.572057945012654e-15,4.497834348292217e-15,5.576298733708708e-08
2.6469779601696886e-23,2.7781762029869816e-15,-1.2924697071141057e-26,1.6501824852016491e-12,2.0858096203699678e-10,1.5632440063580147e-12,1.537866024991777e-12,1.5632440063580761e-12
1.3234889800848443e-23,1.4857209232621465e-14,2.4233807008389483e-27,3.27970856547153e-11,3.4404411785266935e-15,3.10677853068961e-11,3.056342535195405e-11,3.106778530689613e-11
-2.204051907791789e-39,1.2762229709017682e-30,5.3809861030072976e-43,1.2684563566217213e-30,2.9553128002302124e-31,2.6686991239652586e-27,2.625374987512628e-27,2.668699123965257e-27
1.0587911840678754e-22,4.682020289217215e-15,7.754818242684634e-26,4.653527269832473e-15,1.0842019621102102e-15,4.982922719341336e-10,4.497834348421464e-15,4.572057950518575e-15
8.470329472543003e-22,2.5304739500699234e-15,-8.271806125530277e-25,2.515074433263603e-15,5.859745681404319e-16,2.471043018857243e-15,4.2144610225592885e-09,2.471043017409677e-15
0.0,4.036830768756548e-12,-8.077935669463161e-28,4.012264130949192e-12,9.347972819246016e-13,3.94202140772251e-12,3.878025930737605e-12,3.942021407722506e-12
-2.6469779601696886e-22,4.3894387837439244e-15,-7.754818242684634e-26,2.6072410355901e-12,3.2955194249273237e-10,2.469880730505162e-12,2.4297842472302324e-12,2.469880730505262e-12
9.62964972193618e-35,3.058928577598997e-22,1.0579449157400588e-37,3.0403130857071763e-22,7.083472862108184e-23,2.9870863130840924e-22,2.938593422348793e-22,2.9870863130840948e-22
