Intercept,input1,input2,input3,input4,input5,input6,input7
-6.617444900424222e-24,5.111883205023579e-17,-8.077935669463161e-28,1.0817662467442288e-11,1.7290568192306132e-17,4.1435060610332744e-12,3.4298070048122684e-12,4.143506061033274e-12
-2.168404344971009e-19,4.94373196824429e-16,3.3087224502121107e-23,4.929511770539974e-16,1.6721806807339177e-16,4.071376506433612e-16,3.3701050750150577e-16,7.031579060514238e-07
-2.6469779601696886e-23,2.0808951906281404e-17,3.877409121342317e-26,7.517594396327585e-13,1.7348093790976056e-10,2.879552068272761e-13,2.383563028269044e-13,2.8795520682732984e-13
-3.308722450212111e-24,8.499102052280337e-17,1.6155871338926322e-27,1.7985625569363556e-11,2.874758630639622e-17,6.889062103982729e-12,5.702454180780057e-12,6.889062103982716e-12
0.0,1.3306950165027976e-32,1.793662034335766e-43,1.3268676358223073e-32,4.5009778219255934e-33,1.0786128409655138e-27,8.928269496730132e-28,1.0786128409655132e-27
1.6940658945086007e-21,4.943732336068161e-16,-1.2407709188295415e-24,4.929513100749797e-16,1.6721810116061627e-16,6.2832893934826145e-09,3.370102324639521e-16,4.07137764484093e-16
-2.710505431213761e-20,2.2481925854804176e-16,3.308722450212111e-24,2.2417260294464517e-16,7.604349787922053e-17,1.8514840560800562e-16,4.471555594395227e-08,1.8514841243224567e-16
4.963083675318166e-24,3.763589345269317e-12,-2.0194839173657902e-27,3.7527644087012296e-12,1.2730063585832357e-12,3.09947877448146e-12,2.5656084135985285e-12,3.099478774481461e-12
-5.293955920339377e-23,3.403166730522619e-17,7.754818242684634e-26,1.2294529404811766e-12,2.8371662261374e-10,4.709317330736771e-13,3.898159995648337e-13,4.709317330737748e-13
1.504632769052528e-36,1.696857802173513e-24,-1.1020259538958945e-39,1.6919772542740224e-24,5.739496458330746e-25,1.3974358673750859e-24,1.156734238130632e-24,1.3974358673750885e-24
