Intercept,input1,input2,input3,input4,input5,input6,input7
-3.3881317890172014e-21,1.595516901919717e-10,8.271806125530277e-25,3.1581532122461808e-09,1.5649579410277798e-11,2.9822779094689473e-09,2.929050350778857e-09,2.9822779094689473e-09
-2.6020852139652106e-18,1.5656078294055277e-10,2.117582368135751e-21,1.5332624151996312e-10,1.5356217172932776e-11,1.50524328982309e-10,1.478377776968949e-10,6.140839974753219e-06
1.6093625997831706e-20,2.622706511626929e-11,-9.719372197498075e-24,2.758267803323252e-10,1.1903581170179865e-08,2.609400381112915e-10,2.5628279233649333e-10,2.609400381112934e-10
-1.0587911840678754e-22,4.63677403803221e-12,1.1632227364026952e-25,9.177992915682675e-11,4.547965830282932e-13,8.666877027867665e-11,8.512191006086837e-11,8.666877027867663e-11
-3.6734198463196485e-39,1.4966990622731009e-28,2.8698592549372254e-42,1.465777301236399e-28,1.468032761053832e-29,2.797571461116719e-27,2.7476405346046337e-27,2.7975714611167185e-27
-3.7269449679189215e-20,1.5656078294019036e-10,2.6469779601696886e-23,1.5332624151510385e-10,1.5356217174561288e-11,5.5022589455041055e-08,1.4783777769796692e-10,1.5052432898474506e-10
-1.6263032587282567e-19,8.447701495716203e-11,0.0,8.273172217537582e-11,8.285902532905737e-12,8.121986714835139e-11,4.6341990973594346e-07,8.121986714830507e-11
-4.963083675318166e-24,3.752196424273917e-12,4.0389678347315804e-27,3.67467615041341e-12,3.6803305457935067e-13,3.607524428378937e-12,3.5431374986337973e-12,3.60752442837894e-12
5.558653716356346e-22,8.34806131524766e-13,-2.3910689581610956e-25,8.779552208351911e-12,3.788903754161745e-10,8.305707970369097e-12,8.157468077282211e-12,8.3057079703693e-12
0.0,6.068439118321305e-18,7.703719777548943e-33,5.943065334764891e-18,5.952210206257451e-19,5.834460642798238e-18,5.730327458126377e-18,5.8344606427982445e-18
