Intercept,input1,input2,input3,input4,input5,input6,input7
-2.6469779601696886e-22,1.3858339127201258e-12,-1.0339757656912846e-25,2.47153111618743e-10,2.8816300984251787e-13,2.148602071721989e-10,2.0597540876882817e-10,2.1486020717219863e-10
1.0842021724855044e-19,1.677825849163117e-12,-7.411538288475128e-22,1.6663222749946328e-12,3.4887827576256706e-13,1.6013338682344524e-12,1.5351162618195954e-12,1.4576058620919174e-06
1.0587911840678754e-21,3.584887612071636e-13,-6.203854594147708e-25,1.8803758823981376e-11,2.1771722225182697e-09,1.637003327481863e-11,1.5693107345082423e-11,1.6370033274817786e-11
-2.6469779601696886e-23,1.983095588468972e-13,-1.6155871338926322e-26,3.536702636793381e-11,4.1235445916960294e-14,3.074598803433632e-11,2.9474594373347296e-11,3.074598803433634e-11
-7.346839692639297e-40,1.5878128919623273e-29,-3.587324068671532e-43,1.5769264678831651e-29,3.301614557235303e-30,2.4617510351444306e-27,2.3599538622085507e-27,2.4617510351444317e-27
-1.0164395367051604e-20,1.6778258493187184e-12,2.895132143935597e-24,1.6663222749265068e-12,3.488782763185617e-13,1.3026483404529395e-08,1.535116261341472e-12,1.6013338675588527e-12
6.776263578034403e-21,8.836557616317458e-13,-2.6469779601696886e-23,8.77597206853602e-13,1.8374272816822548e-13,8.433699473866479e-13,1.0735106268190706e-07,8.433699474290409e-13
-1.6543612251060553e-24,3.7627953322470075e-12,-3.6350710512584224e-27,3.736996709552266e-12,7.824158569144815e-13,3.591249714418987e-12,3.4427460424328445e-12,3.591249714418985e-12
2.6469779601696886e-22,5.524977974786672e-14,-1.6802106192483375e-25,2.898008657114773e-12,3.3554269696551697e-10,2.5229263250907866e-12,2.4185994602887317e-12,2.522926325090754e-12
9.860761315262648e-32,8.586413204598378e-20,-2.407412430484045e-35,8.527542706735188e-20,1.7854135694608257e-20,8.194959131748244e-20,7.856085029522841e-20,8.194959131748252e-20
