Intercept,input1,input2,input3,input4,input5,input6,input7
4.1359030627651384e-23,1.6906386023771643e-13,-2.3829910224916325e-26,1.2410281390215486e-11,5.5246804439832123e-14,3.930857550859835e-12,3.1875332149575137e-12,3.930857550859851e-12
1.1858461261560205e-20,3.169802897740622e-14,-2.481541837659083e-24,3.1316313031363987e-14,1.0358303691653958e-14,2.5380748931544038e-14,2.0581254642184262e-14,8.877305996402481e-09
1.9852334701272664e-22,6.521633800467018e-14,-8.077935669463161e-26,8.712340573943961e-13,4.532265083617075e-11,3.0233315020283473e-13,2.451620151036189e-13,3.0233315020286704e-13
4.632211430296955e-23,2.714753195028058e-13,-3.069615554396001e-26,1.9927884651346005e-11,8.871289148209754e-14,6.311998365820061e-12,5.1184008027480016e-12,6.311998365820094e-12
7.346839692639297e-40,1.3285485505364915e-29,-4.708362840131385e-43,1.312549821696166e-29,4.3414400840670265e-30,3.0889718797481603e-28,2.5048479471389797e-28,3.0889718797481626e-28
-4.632211430296955e-23,3.169802898684229e-14,1.6155871338926322e-26,3.131631303801011e-14,1.0358303697209962e-14,5.031919397802276e-11,2.058125464986234e-14,2.5380748933674998e-14
1.641126335305207e-21,1.4121359860034056e-14,-4.1359030627651384e-25,1.395130675424464e-14,4.614587680354596e-15,1.1307033928693533e-14,8.678192041010804e-10,1.1307033929184672e-14
6.617444900424222e-24,7.514311534968672e-12,-2.0194839173657902e-27,7.423822231720232e-12,2.4555318877060827e-12,6.0167417525436824e-12,4.87897715292675e-12,6.016741752543694e-12
3.441071348220595e-22,1.0312109466827362e-13,-1.4863401631812216e-25,1.3776089314359074e-12,7.166488506543349e-11,4.780539103742107e-13,3.8765401649432004e-13,4.780539103742494e-13
3.0814879110195774e-33,5.5624822546950686e-21,-3.291384182302405e-36,5.495497389718847e-21,1.8177117740780386e-21,4.453903604323573e-21,3.6116713697485636e-21,4.4539036043235806e-21
