Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,1.5561937403991332e-07,2.6469779601696886e-22,1.4737273715140768e-06,1.9857226485949647e-13,1.245313983085577e-07,5.940820150329149e-08,1.2453139830855825e-07
-8.326672684688674e-17,1.1487108860126947e-06,-1.6263032587282567e-19,4.315776848309166e-12,1.4300291026748783e-12,8.486879618297999e-11,4.048699869727533e-11,0.0004236885460128904
-2.6020852139652106e-18,8.780044292449724e-08,1.9058241313221758e-21,4.24763660816156e-07,6.243316347901823e-06,3.589610244192201e-08,1.712437920088825e-08,3.589610244192477e-08
-6.617444900424222e-24,6.344921152163558e-12,-6.462348535570529e-27,6.008688847214995e-11,8.096198631951272e-18,5.077400600736368e-12,2.422194258624578e-12,5.0774006007363665e-12
2.2958874039497803e-41,8.11403497693981e-29,-2.697499543825273e-44,3.048492398856345e-34,1.0101152890549037e-34,6.504490034595621e-29,3.102992979280278e-29,6.504490034595631e-29
-4.336808689942018e-19,1.1487108860127762e-06,3.970466940254533e-22,4.315776816545431e-12,1.4300288714117227e-12,2.4004717952301177e-06,4.048699851002149e-11,8.486879606033889e-11
-1.214306433183765e-17,3.0106143424983685e-07,1.6940658945086007e-21,1.1311061771415349e-12,3.7479104722606846e-13,2.2242952312898557e-11,2.4366417002022692e-05,2.2242952326451084e-11
-6.203854594147708e-25,1.9115922291611107e-12,-1.4852193952131047e-28,7.181968523494532e-18,2.379738985503435e-18,1.4123182170780901e-16,6.737520526324127e-17,1.4123182170771156e-16
-1.3234889800848443e-23,1.2128221494211845e-12,1.6155871338926322e-26,5.867427987237736e-12,8.624139127737898e-11,4.958470216020856e-13,2.3654580430515423e-13,4.958470216020911e-13
2.0679515313825692e-25,1.8973724345333977e-12,-8.553740514083916e-28,7.12854388801561e-18,2.362036779685692e-18,1.4018123808010067e-16,6.687402014235394e-17,1.401812380798443e-16
