Intercept,input1,input2,input3,input4,input5,input6,input7
4.235164736271502e-22,3.2492685822623205e-10,-3.3927329811745276e-25,5.297205575672898e-10,1.972571305965383e-23,5.257515369133925e-10,5.227290735323903e-10,5.25751536913393e-10
-1.0164395367051604e-20,6.505333923345926e-11,6.617444900424222e-24,2.2912902967718867e-22,1.2821299494571929e-23,8.048467360140959e-22,8.048467360140959e-22,2.2348157439367183e-08
2.6469779601696886e-23,3.510694861988678e-11,-1.1309109937248425e-26,5.553792897500287e-11,5.556335781825365e-11,5.51218016716112e-11,5.480491505245755e-11,5.5121801671611306e-11
4.235164736271502e-22,5.41486757142822e-10,-3.715850407953054e-25,8.827730292128934e-10,3.309166736673931e-23,8.761587033469315e-10,8.711218039545695e-10,8.761587033469323e-10
0.0,4.577081698592983e-28,-8.96831017167883e-44,1.6492273990208783e-39,2.0559851068573716e-41,7.639855758273547e-28,7.595935422060964e-28,7.63985575827355e-28
0.0,6.505333923345697e-11,0.0,2.344475425219632e-22,2.846664529918818e-24,1.266124283933291e-10,8.010501062494482e-22,8.056642231038456e-22
-1.2705494208814505e-21,3.553387318258004e-11,-9.305781891221561e-25,1.2779940463944278e-22,2.3135207757342493e-24,4.4016348345477985e-22,2.678644833209023e-09,4.396981943602188e-22
5.169878828456423e-25,1.698938685752313e-12,-4.001290041194959e-28,6.122516352045472e-24,7.506690214945087e-26,2.1040771524460566e-23,2.0920078266214718e-23,2.1040802974980567e-23
5.293955920339377e-23,5.754630442932692e-11,-1.2924697071141057e-26,9.10361821180731e-11,9.107786434944107e-11,9.035407816362219e-11,8.98346466957143e-11,9.035407816362221e-11
2.0679515313825692e-25,1.6989261373549723e-12,-3.5971495858302766e-28,6.122090379639148e-24,7.48420433320238e-26,2.104072264102119e-23,2.0919744427027684e-23,2.1041070440870494e-23
