Intercept,input1,input2,input3,input4,input5,input6,input7
2.6469779601696886e-23,3.6260074364165383e-16,-9.693522803355793e-27,2.6094191379873132e-11,7.541978479326952e-17,2.3330526583496363e-11,2.2541525160345988e-11,2.3330526583496366e-11
6.776263578034403e-20,5.304104550554712e-16,-2.6469779601696886e-23,5.146302923684131e-16,1.1032361567272631e-16,4.995255177794966e-16,4.8263242916425795e-16,1.3528567758771509e-07
-1.3234889800848443e-23,9.858404862599305e-17,1.454028420503369e-26,2.1671317302679475e-12,5.7733011100488315e-11,1.937613487504788e-12,1.8720864710576256e-12,1.9376134875047053e-12
2.6469779601696886e-23,5.757748637018117e-16,1.2924697071141057e-26,4.143504873794566e-11,1.1975931398247072e-16,3.7046616697030156e-11,3.579375885036929e-11,3.7046616697030136e-11
0.0,1.3369470003411823e-32,0.0,1.297171793600244e-32,2.780806626142971e-33,8.602210027987752e-28,8.311296921932016e-28,8.602210027987745e-28
-1.0587911840678754e-22,5.304104371379897e-16,1.0339757656912846e-25,5.14630316304952e-16,1.1032365954561052e-16,7.66455100954568e-10,4.826323889555254e-16,4.995255514612572e-16
8.470329472543003e-21,2.8154490821324113e-16,-5.583469134732937e-24,2.7316872664302203e-16,5.85604213220605e-17,2.651510287473068e-16,1.575752079770868e-08,2.65151026989548e-16
1.6543612251060553e-24,3.121634560998992e-12,1.0097419586828951e-27,3.028763520011873e-12,6.492899174172692e-13,2.9398671605137096e-12,2.840445513719024e-12,2.9398671605137076e-12
3.970466940254533e-23,1.5410480985565754e-16,3.6350710512584224e-26,3.3876213025569268e-12,9.024720349629544e-11,3.028842517838657e-12,2.926411865511902e-12,3.0288425178385434e-12
2.407412430484045e-35,1.1345696673650712e-23,2.938735877055719e-39,1.1008153428207887e-23,2.3598683037128297e-24,1.0685056310159838e-23,1.0323704644779014e-23,1.0685056310159833e-23
