Intercept,input1,input2,input3,input4,input5,input6,input7
-1.9852334701272664e-23,2.974946623609728e-14,1.7771458472818954e-26,1.6158616381012097e-11,7.808271305326666e-15,1.5670970492302222e-11,1.552600659259845e-11,1.5670970492302206e-11
-1.0164395367051604e-20,1.0514674675036224e-14,1.2071667064445748e-23,1.0305020034634449e-14,2.758249744363305e-15,1.0202001651506927e-14,1.0107628293957687e-14,3.6087562593852534e-08
-4.301339185275744e-23,9.963505556655635e-15,5.169878828456423e-26,1.2845127722035125e-12,4.719642694823742e-11,1.24589842556048e-12,1.234373274996707e-12,1.2458984255604884e-12
-6.617444900424222e-24,4.399936969228329e-14,2.3426013441443167e-26,2.3898544270393218e-11,1.1548409409898173e-14,2.3177317490524688e-11,2.296291632566069e-11,2.3177317490524685e-11
-1.1020259538958945e-39,1.4191118639335412e-30,9.865141188846712e-43,1.3908158502943957e-30,3.722668605790133e-31,7.478717706853474e-28,7.4095360257252e-28,7.478717706853455e-28
-2.117582368135751e-22,1.0514674671048636e-14,9.208846663188003e-26,1.0305020037522759e-14,2.7582497400335316e-15,2.0446252230910272e-10,1.0107628305008909e-14,1.0202001652569958e-14
-1.6940658945086007e-21,5.723168895779147e-15,2.68833699079734e-24,5.609053252149708e-15,1.5013235882029274e-15,5.552980037059201e-15,4.31021725904432e-09,5.552980035405648e-15
1.6543612251060553e-24,2.8037032201041414e-12,2.5022667913610494e-27,2.7477995055533604e-12,7.354781693180646e-13,2.7203299939987873e-12,2.6951656530535405e-12,2.720329993998784e-12
-3.970466940254533e-23,1.452526359284027e-14,5.169878828456423e-26,1.8726226927402414e-12,6.880515478870102e-11,1.8163288953145905e-12,1.7995269927177406e-12,1.8163288953145897e-12
-1.1555579666323415e-33,1.0166761866654757e-21,1.5648768545321702e-36,9.96404435032715e-22,2.6669839203959016e-22,9.86443466961413e-22,9.773183976571029e-22,9.864434669614103e-22
