Intercept,input1,input2,input3,input4,input5,input6,input7
-2.541098841762901e-21,9.312274248966248e-12,4.1359030627651384e-25,1.2595713582235391e-09,2.4292942722522083e-12,1.2186253633184095e-09,1.2063579319564112e-09,1.218625363318408e-09
-3.0357660829594124e-18,6.084662455733853e-12,2.752857078576476e-21,5.950888982926429e-12,1.587306736715824e-12,5.8877996658794054e-12,5.828529460083949e-12,3.930388073612057e-06
-1.9058241313221758e-21,2.5822001601549318e-12,1.2407709188295415e-24,9.148695375130634e-11,3.1030757836038855e-09,8.855403559238814e-11,8.766259628203338e-11,8.855403559238855e-11
-1.3234889800848443e-23,2.3572663648205376e-13,3.2311742677852644e-27,3.188421128341869e-11,6.149404028631375e-14,3.084772316050182e-11,3.0537191033126024e-11,3.0847723160501815e-11
-1.1020259538958945e-39,7.164866723174945e-30,4.484155085839415e-43,7.00734457673821e-30,1.869099773773677e-30,9.37610736134264e-28,9.281721706029523e-28,9.376107361342644e-28
-1.0164395367051604e-20,6.084662454818475e-12,-3.308722450212111e-24,5.9508889838898875e-12,1.5873067367737267e-12,2.227328207620056e-08,5.82852945925735e-12,5.887799666873263e-12
-2.981555974335137e-19,3.3091717736094693e-12,-1.162188760637004e-22,3.236418453493803e-12,8.632640987841395e-13,3.2021070376694503e-12,4.690520035619799e-07,3.2021070374538664e-12
-3.308722450212111e-24,3.116611378350374e-12,2.0194839173657902e-27,3.0480915673208368e-12,8.130308416443991e-13,3.0157767290274786e-12,2.98541806824455e-12,3.0157767290274786e-12
-9.26442286059391e-23,7.10716782715193e-14,2.5849394142282115e-26,2.5180586088500606e-12,8.540809777160565e-11,2.4373338768932903e-12,2.4127981771277494e-12,2.437333876893284e-12
-7.395570986446986e-32,7.492386137073092e-20,1.8055593228630336e-35,7.327663359687774e-20,1.9545398086089304e-20,7.249977945287762e-20,7.176995214501961e-20,7.249977945287761e-20
