Intercept,input1,input2,input3,input4,input5,input6,input7
-5.293955920339377e-23,1.7780919161010092e-11,0.0,1.312882174612441e-10,6.605693578700241e-13,1.2874243225110106e-10,1.2793784968122417e-10,1.287424322511012e-10
-2.202285662861181e-20,4.4264586011326305e-12,0.0,3.5033795385585364e-12,1.6295754575427472e-13,3.48806704822319e-12,3.466268190609742e-12,2.4310350498854982e-08
0.0,2.4406054148881975e-12,0.0,1.3817289311667702e-11,5.501370101489443e-11,1.3556940731225467e-11,1.3472215920434847e-11,1.3556940731225468e-11
-1.5881867761018131e-22,2.8992404246800115e-11,0.0,2.140699836161882e-10,1.0770812061510988e-12,2.099189926989219e-10,2.0860709296502364e-10,2.099189926989221e-10
-5.510129769479473e-40,1.1631940310368086e-28,-8.96831017167883e-43,9.206253881289748e-29,4.28223240328832e-30,8.45098989209408e-28,8.398174988363492e-28,8.450989892094085e-28
2.6469779601696886e-23,4.426458601123817e-12,-1.2924697071141057e-26,3.5033795385488057e-12,1.6295754575575864e-13,1.4119744588375807e-10,3.4662681906013894e-12,3.488067048215645e-12
8.470329472543003e-22,2.4166323970061746e-12,-1.4475660719677984e-24,1.9126758555287863e-12,8.896694172324011e-14,1.9043159760948404e-12,2.9138399555363917e-09,1.9043159760970634e-12
-3.308722450212111e-24,2.674716951536313e-12,-2.0194839173657902e-27,2.1169403091317442e-12,9.846817722477967e-14,2.1076876353455472e-12,2.094515531133344e-12,2.107687635345549e-12
-1.3234889800848443e-23,3.915720087774607e-12,0.0,2.216853121206771e-11,8.826426953441631e-11,2.1750826588435215e-11,2.1614893659039155e-11,2.1750826588435234e-11
-5.9164567891575885e-31,5.690111262358824e-19,-2.8888949165808538e-34,4.503514245802007e-19,2.0947819689438166e-20,4.483830389800893e-19,4.455808457056288e-19,4.483830389800904e-19
