Intercept,input1,input2,input3,input4,input5,input6,input7
-2.117582368135751e-22,2.097740959808578e-10,-1.0339757656912846e-25,6.889003460443976e-10,1.4916156884835375e-18,4.927041331702996e-10,3.680315906028978e-10,4.927041331702994e-10
-1.6940658945086007e-21,3.589439704066991e-11,4.342698215903395e-24,2.9275788669797817e-17,2.552325750626777e-19,5.18099726292272e-17,3.870011249628525e-17,1.9158433400103604e-08
0.0,2.078489539955807e-11,-2.5849394142282115e-26,6.707961579576544e-11,6.7119601433698e-11,4.7975595245950997e-11,3.583597830786884e-11,4.797559524595095e-11
-6.352747104407253e-22,3.359360127845154e-10,-1.0339757656912846e-25,1.1032174128742083e-09,2.3886999128867438e-18,7.890252664694367e-10,5.893724129654342e-10,7.89025266469436e-10
1.8367099231598242e-40,2.929672346499407e-28,8.96831017167883e-44,2.389467484634147e-34,2.0831670236320604e-36,6.881029171908373e-28,5.139871863520698e-28,6.8810291719083695e-28
1.3234889800848443e-23,3.589439704067317e-11,0.0,2.927579757006734e-17,2.552299868920892e-19,1.0854124931160407e-10,3.870011705547214e-17,5.1809975268490734e-17
-1.2705494208814505e-21,1.4729988397322184e-11,2.0679515313825692e-25,1.2013914050785028e-17,1.0473874653480662e-19,2.126126616535783e-17,1.725187076178761e-09,2.1261265984412072e-17
2.0679515313825692e-25,1.161778564104801e-12,1.1910278184181212e-28,9.475571925356457e-19,8.260919545348505e-21,1.6769112646090653e-18,1.2525901009928208e-18,1.6769112640818994e-18
5.293955920339377e-23,3.2762213386853654e-11,2.5849394142282115e-26,1.0573431544215298e-10,1.0579734284629301e-10,7.562158281742372e-11,5.6486498761693174e-11,7.562158281742366e-11
-5.169878828456423e-26,5.806697750814324e-13,6.010124392002862e-29,4.735995643873665e-19,4.128898877237693e-21,8.381387958950178e-19,6.260583855703373e-19,8.381387956447373e-19
