Intercept,input1,input2,input3,input4,input5,input6,input7
7.589415207398531e-19,2.0484517188272742e-08,-2.746239633676052e-22,1.3674327224375803e-06,5.333572394978596e-10,5.615363032714162e-08,4.0695999674392564e-08,5.6153630327142245e-08
1.3877787807814457e-17,2.296609847517913e-08,-3.3881317890172014e-20,1.9885034507272508e-09,5.979703974512451e-10,1.5024490806352886e-08,1.0888640135970444e-08,0.00014682262314567326
-2.168404344971009e-18,1.4266722381062046e-08,8.470329472543003e-22,3.5207153910919094e-07,6.862596250699356e-06,2.0316426404261315e-08,1.4723843810556883e-08,2.031642640425782e-08
3.970466940254533e-23,8.4653103418796e-13,2.8272774843121063e-27,5.650971541424701e-11,2.204120562831951e-14,2.3205716940918502e-12,1.6817787978619942e-12,2.320571694091862e-12
-1.1479437019748901e-41,1.443134877166461e-29,-1.401298464324817e-44,1.2495281627038096e-30,3.7575034218983157e-31,3.956025014394984e-29,2.8670344510190736e-29,3.956025014394983e-29
5.421010862427522e-20,2.296609847517832e-08,-1.0587911840678754e-22,1.9885034508002784e-09,5.979703974554538e-10,8.467559936202711e-07,1.088864013597184e-08,1.5024490806289266e-08
0.0,9.14403657272682e-09,-8.470329472543003e-22,7.917299622670361e-10,2.380841129669765e-10,5.982056271669246e-09,1.2830586040896921e-05,5.982056271675599e-09
-3.308722450212111e-24,3.0373601441040315e-12,1.0097419586828951e-28,2.6298768745607956e-13,7.908402267581269e-14,1.9870501561160533e-12,1.440067045268372e-12,1.9870501561160553e-12
1.9852334701272664e-23,2.0084211726537225e-13,-1.9387045606711586e-26,4.956344663819249e-12,9.660932091574357e-11,2.860078149213841e-13,2.0727731893921814e-13,2.860078149213744e-13
-3.2311742677852644e-27,5.885796069021963e-15,7.888609052210118e-31,5.096175045408622e-16,1.5324900825188138e-16,3.8505055189190534e-15,2.7905617220340875e-15,3.8505055189190566e-15
