Intercept,input1,input2,input3,input4,input5,input6,input7
3.8116482626443515e-21,1.6002252431382847e-16,4.1359030627651384e-25,1.972132604963616e-09,5.064539993406482e-17,1.478361719275463e-09,1.363818963161402e-09,1.4783617192754645e-09
-5.204170427930421e-17,4.7635459907786e-16,4.658681209898652e-21,4.685670855971726e-16,1.5075958263353027e-16,4.3615738157373653e-16,4.023785546701823e-16,3.2461473845240565e-05
8.893845946170154e-21,5.850424874410555e-17,-1.2407709188295415e-24,1.4008549649471254e-10,6.4180554241144575e-09,1.0501172765555682e-10,9.687546942244209e-11,1.0501172765556088e-10
5.293955920339377e-23,1.9550347632849203e-18,-6.462348535570529e-27,2.409403180922893e-11,6.187473719988644e-19,1.8061510772713253e-11,1.6662113591011128e-11,1.806151077271327e-11
1.8367099231598242e-40,7.806718853890177e-35,3.587324068671532e-43,7.68051547942378e-35,2.470742094467339e-35,7.212205925860864e-28,6.653407673958655e-28,7.212205925860857e-28
2.439454888092385e-19,4.76277661233116e-16,-2.6469779601696886e-23,4.685783087837237e-16,1.507367325962891e-16,1.8390894433195707e-07,4.023582854364523e-16,4.361510470246056e-16
3.0357660829594124e-18,2.413843428473776e-16,4.235164736271502e-22,2.3748379209199066e-16,7.639485442493101e-17,2.210493412120075e-16,3.6101193266268425e-06,2.2104881181641547e-16
8.271806125530277e-24,3.12165285608057e-12,4.0389678347315804e-28,3.0711882764614676e-12,9.879693812805998e-13,2.858651732536444e-12,2.6371647689972092e-12,2.858651732536443e-12
7.940933880509066e-23,7.264360874879657e-19,0.0,1.7394148316810434e-12,7.969176734635841e-11,1.3039105485942988e-12,1.2028841854147417e-12,1.303910548594344e-12
2.407412430484045e-35,2.1835144236220163e-23,-2.938735877055719e-39,2.1482157717345417e-23,6.910587094657498e-24,1.9995520251225132e-23,1.844627694382108e-23,1.9995520251225167e-23
