Intercept,input1,input2,input3,input4,input5,input6,input7
3.7947076036992655e-19,1.2834127800053388e-12,-1.3234889800848443e-22,3.247328424990305e-07,2.9846361487673344e-13,5.019229744450661e-08,3.903718817807204e-08,5.0192297444507064e-08
-1.249000902703301e-16,3.160325939284452e-13,1.3552527156068805e-20,2.4380208443720245e-13,7.349494988561234e-14,2.293399099643524e-13,1.783698819343097e-13,0.0001104466713107983
0.0,8.450395528443182e-13,-4.235164736271502e-22,5.37750213847169e-08,1.7789541250216628e-06,8.31211407469501e-09,6.464768058290032e-09,8.312114074697313e-09
3.970466940254533e-23,1.3187789520063639e-16,-1.9387045606711586e-26,3.336812944160432e-11,3.066881828130912e-17,5.157541396832396e-12,4.011291060484776e-12,5.157541396832437e-12
-3.6734198463196485e-40,3.802462662382331e-33,1.5974802493302915e-43,2.9333958502334998e-33,8.842803888469932e-34,1.4870845914838535e-28,1.1565838582832325e-28,1.4870845914838477e-28
-1.3010426069826053e-18,3.160325923918816e-13,5.823351512373315e-22,2.4380218163423315e-13,7.349485086216685e-14,6.257306176921875e-07,1.7836966349245354e-13,2.2933985494029806e-13
1.734723475976807e-18,1.350361872413216e-13,-2.117582368135751e-22,1.0417317446338048e-13,3.1403293356826404e-14,9.79936264325663e-14,1.035550763888655e-05,9.79936339499837e-14
3.308722450212111e-24,3.1216440654456256e-12,-1.2116903504194741e-27,2.4081808452135077e-12,7.25952855341833e-13,2.2653277419590333e-12,1.761864466268634e-12,2.2653277419590386e-12
3.3087224502121107e-23,4.058180003922075e-17,-5.169878828456423e-26,2.5824674800830565e-12,8.543169408638652e-11,3.9917723388837793e-13,3.104611183205898e-13,3.991772338884781e-13
1.9721522630525295e-31,1.9250940092721819e-19,-9.62964972193618e-35,1.4851067005625254e-19,4.476895711148593e-20,1.397010284854777e-19,1.0865283350871374e-19,1.3970102848547807e-19
