Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,3.4984587749976444e-10,5.169878828456423e-26,6.950473203546257e-10,2.359445730898329e-17,6.890615991133899e-10,6.841893976639764e-10,6.890615991133892e-10
6.776263578034403e-21,6.415214813252592e-11,-2.481541837659083e-24,2.855498771297999e-16,4.32657998128234e-18,8.18886184556396e-16,8.130960223542446e-16,2.752366350495234e-08
0.0,3.5833397069145427e-11,1.6963664905872638e-26,7.011245569697868e-11,7.015473326296025e-11,6.950865441408727e-11,6.901717416439861e-11,6.950865441408717e-11
-4.235164736271502e-22,5.552908273468517e-10,5.169878828456423e-26,1.1032098029086887e-09,3.745016437045095e-17,1.093709001801448e-09,1.0859756284852302e-09,1.0937090018014472e-09
3.6734198463196485e-40,4.842692006396774e-28,-2.2420775429197073e-43,2.1555476284786802e-33,3.266029337880558e-35,9.538237585616941e-28,9.47079482716213e-28,9.53823758561694e-28
3.970466940254533e-23,6.415214813251873e-11,-4.362085261510107e-26,2.8554987724975725e-16,4.326576978309755e-18,1.5593482733383526e-10,8.130960250004754e-16,8.188861873445964e-16
6.352747104407253e-22,3.499502795483659e-11,-1.5509636485369269e-24,1.557675975189514e-16,2.360149774044476e-18,4.467028133811898e-16,3.294593854454693e-09,4.467028124037596e-16
5.169878828456423e-25,1.4087688193973583e-12,-2.228630279676522e-28,6.270620316493779e-18,9.501079749816543e-20,1.7982582982650477e-17,1.7855432134101418e-17,1.79825829824886e-17
-1.5881867761018131e-22,5.5991286009198246e-11,1.6155871338926322e-27,1.0955384866697475e-10,1.096199092552042e-10,1.0861038215003082e-10,1.0784242227240357e-10,1.0861038215003065e-10
-2.5849394142282115e-26,1.7576307935597721e-13,-1.8403440250710976e-29,7.823452088791669e-19,1.1853889842039577e-20,2.2435719163520453e-18,2.2277081178480285e-18,2.2435719163074115e-18
