Intercept,input1,input2,input3,input4,input5,input6,input7
-3.1763735522036263e-22,1.422561674924628e-14,1.2763138357751794e-25,1.8257930245608028e-10,3.9418378374539165e-15,1.7061215700288732e-10,1.6705116355655019e-10,1.706121570028874e-10
-6.505213034913027e-19,1.2404748011699736e-14,1.0587911840678754e-22,1.2168728159590034e-14,3.437285541209534e-15,1.1932274783078378e-14,1.1683226112667835e-14,8.239085426183505e-07
-5.293955920339377e-23,4.232071690769303e-15,8.592904068391437e-26,1.2898247337271077e-11,4.929965279997982e-10,1.2052978763650957e-11,1.180141065068549e-11,1.2052978763651035e-11
0.0,2.2496799202321364e-15,1.8983148823238428e-26,2.8873615663182507e-11,6.233735653025722e-16,2.6981096885025753e-11,2.6417951146349364e-11,2.698109688502578e-11
-7.346839692639297e-40,7.496805520798141e-32,1.793662034335766e-43,7.354166782489674e-32,2.0773223533177773e-32,8.991147330103605e-28,8.803485341180922e-28,8.991147330103607e-28
4.235164736271502e-22,1.2404748111013498e-14,4.1359030627651384e-25,1.2168727899648527e-14,3.4372854475309256e-15,4.667826723114008e-09,1.1683225903158495e-14,1.1932274697051595e-14
-2.710505431213761e-20,6.672741969558088e-15,6.617444900424222e-24,6.545782372753486e-15,1.8489790135169365e-15,6.418589860603306e-15,9.725140074966045e-08,6.418589828343262e-15
0.0,3.1215916559960683e-12,3.1554436208840472e-27,3.0621983725097525e-12,8.649753694092594e-13,3.0026961290360726e-12,2.9400242689255473e-12,3.0026961290360718e-12
-3.970466940254533e-23,7.173991101521104e-16,-2.6505726415425997e-27,2.1864448049019467e-12,8.357024557631914e-11,2.043159207005371e-12,2.0005146693957562e-12,2.0431592070053957e-12
-9.62964972193618e-35,2.2352555512651306e-22,3.9672934340252203e-38,2.192726232490961e-22,6.193766543634348e-23,2.1501188915269997e-22,2.10524190611122e-22,2.150118891527003e-22
