Intercept,input1,input2,input3,input4,input5,input6,input7
-3.970466940254533e-23,9.575177337270152e-13,3.2311742677852644e-26,3.820673182241778e-11,1.813069470084767e-13,3.5584966395609047e-11,3.4792615237034467e-11,3.558496639560901e-11
4.0657581468206416e-20,5.566206030599202e-13,2.6469779601696886e-23,5.379276002776594e-13,1.0530473859229955e-13,5.272578632882453e-13,5.1551769817826e-13,8.802186264598904e-08
3.3087224502121107e-23,2.53762450272672e-13,-1.6155871338926322e-26,3.4394436780999666e-12,7.724152423017595e-11,3.211523611785231e-12,3.1400143562670985e-12,3.211523611785225e-12
-3.970466940254533e-23,9.386088166459146e-13,3.877409121342317e-26,3.745223099332275e-11,1.777265245197521e-13,3.4882239798275465e-11,3.410553587194408e-11,3.488223979827542e-11
-7.346839692639297e-40,1.9758528608024497e-29,3.587324068671532e-43,1.9094977482069802e-29,3.738033913060698e-30,7.3471636174865005e-28,7.183568307606694e-28,7.347163617486495e-28
-2.117582368135751e-22,5.566206029400535e-13,7.754818242684634e-26,5.379276002810844e-13,1.0530473861572556e-13,4.99207968077593e-10,5.155176982781291e-13,5.27257863330858e-13
-1.3552527156068805e-20,2.9898998464594604e-13,0.0,2.889489970467977e-13,5.656467263189761e-14,2.8321772431384074e-13,1.0375221211905579e-08,2.8321772432169895e-13
0.0,2.7956829574279306e-12,2.0194839173657902e-27,2.7017954716229595e-12,5.289036401621128e-13,2.648205644740372e-12,2.5892394850586048e-12,2.6482056447403705e-12
3.970466940254533e-23,2.4742718989259244e-13,6.462348535570529e-27,3.353576871407429e-12,7.531316498070174e-11,3.1313469021279102e-12,3.0616228979454563e-12,3.131346902127911e-12
1.232595164407831e-32,3.453052061299788e-20,2.407412430484045e-35,3.337088133584834e-20,6.5326856896927854e-21,3.2708973440713246e-20,3.198066045838786e-20,3.270897344071319e-20
