Intercept,input1,input2,input3,input4,input5,input6,input7
1.9852334701272664e-23,7.534685335326683e-15,-1.6155871338926322e-26,1.5810382607996726e-11,2.297008180268963e-15,1.5387905370039234e-11,1.526343099053792e-11,1.5387905370039228e-11
-6.776263578034403e-21,2.506096020821703e-15,3.308722450212111e-24,2.466031812605621e-15,7.640031207989457e-16,2.4434888419718336e-15,2.423723203243382e-15,3.1519924336653684e-08
1.3234889800848443e-23,2.741394959832387e-15,-1.2924697071141057e-26,1.1786361355456235e-12,5.1177313554340766e-11,1.147178927076491e-12,1.1378992764878691e-12,1.1471789270764888e-12
6.617444900424222e-24,1.2093739274587964e-14,-2.5849394142282115e-26,2.537685869851744e-11,3.686871688395111e-15,2.4698750809745356e-11,2.4498960025517746e-11,2.4698750809745363e-11
1.1020259538958945e-39,4.587223891101276e-31,-7.174648137343064e-43,4.513889305622065e-31,1.3984513398583583e-31,9.368376250100062e-28,9.292594472618092e-28,9.368376250100062e-28
1.4558378780933287e-22,2.5060960209197043e-15,-8.401053096241687e-26,2.4660318084475036e-15,7.640031141039526e-16,1.7857706935962256e-10,2.4237231996293136e-15,2.4434888369505888e-15
-4.235164736271502e-22,1.365674552430788e-15,-6.203854594147708e-25,1.3438419183019041e-15,4.1633664708471856e-16,1.3315573278004298e-15,3.769079099874195e-09,1.331557328007225e-15
4.963083675318166e-24,3.120801381985356e-12,-2.4233807008389483e-27,3.0709100574864586e-12,9.514008859567591e-13,3.042837654879789e-12,3.0182238221386654e-12,3.042837654879788e-12
0.0,4.330816273685509e-15,4.8467614016778965e-27,1.8619923912341857e-12,8.08491828547877e-11,1.8122967463676165e-12,1.7976368880209923e-12,1.8122967463675987e-12
7.703719777548943e-34,2.499711112158206e-22,-2.350988701644575e-37,2.45974897327616e-22,7.620566244527613e-23,2.4372634357004765e-22,2.4175481562947e-22,2.4372634357004774e-22
