Intercept,input1,input2,input3,input4,input5,input6,input7
-1.6940658945086007e-21,1.3207053362190363e-10,3.1019272970738538e-24,2.6213354909814754e-09,1.4002130450149446e-11,2.5464427143139144e-09,2.5234470265552773e-09,2.5464427143139124e-09
-1.5178830414797062e-18,8.84489315565274e-11,1.376428539288238e-21,8.180518396464502e-11,9.358812585399668e-12,8.109810706118995e-11,8.036574943456714e-11,3.522244830989071e-06
6.352747104407253e-22,2.2774945373001372e-11,-2.0679515313825692e-25,2.343450308618211e-10,2.5959692016531335e-09,2.2786170615991197e-10,2.2580399772706507e-10,2.278617061599111e-10
-1.0587911840678754e-22,3.838055925298334e-12,4.52364397489937e-26,7.617772062736419e-11,4.069110517478881e-13,7.400128764592505e-11,7.333301794762116e-11,7.400128764592508e-11
-3.6734198463196485e-40,4.064021348862803e-29,4.484155085839415e-43,3.75875669967836e-29,4.300155295739335e-30,7.842738538454518e-28,7.771914574660181e-28,7.8427385384545185e-28
-1.0164395367051604e-20,8.844893155870703e-11,-8.271806125530277e-25,8.180518396357961e-11,9.358812584751572e-12,2.0035750056609847e-08,8.036574943275985e-11,8.10981070614322e-11
-2.710505431213761e-20,4.815370656303125e-11,1.3234889800848443e-22,4.4536692015610306e-11,5.095160643166283e-12,4.415174249640792e-11,4.2081604056484584e-07,4.415174249646748e-11
-2.481541837659083e-24,2.7795968604337184e-12,2.4233807008389483e-27,2.5708103931303315e-12,2.941101222993902e-13,2.5485897885095275e-12,2.5255747115663154e-12,2.5485897885095263e-12
5.293955920339377e-23,7.249031783916222e-13,0.0,7.458962246882002e-12,8.26270401296303e-11,7.2526046637578e-12,7.187109912453447e-12,7.252604663757753e-12
-6.310887241768095e-30,4.505380889894038e-18,3.4666738998970245e-33,4.166963987339901e-18,4.76715937981488e-19,4.130947150205888e-18,4.093642572223594e-18,4.130947150205884e-18
