Intercept,input1,input2,input3,input4,input5,input6,input7
-3.705769144237564e-22,1.1284338508354634e-12,2.5849394142282115e-25,1.9174726663984162e-10,2.678732410564792e-13,1.785747503343512e-10,1.7464858300116046e-10,1.785747503343512e-10
-4.336808689942018e-19,9.465094017513516e-13,3.1763735522036263e-22,9.240928437512555e-13,2.2456276195882717e-13,9.055057916299244e-13,8.85597225124436e-13,8.688834430042907e-07
-2.117582368135751e-22,3.202923144170692e-13,7.754818242684634e-26,1.454462974667319e-11,4.608523337446371e-10,1.3556649873516292e-11,1.3258591633024452e-11,1.3556649873516053e-11
-5.293955920339377e-23,1.6146213722399892e-13,3.2311742677852644e-26,2.7436188178516343e-11,3.832868534923746e-14,2.5551396585524094e-11,2.4989620307502366e-11,2.5551396585524074e-11
-9.183549615799121e-40,4.554227640935254e-30,1.0761972206014595e-42,4.4463680588604396e-30,1.0805068973297212e-30,7.210139572343082e-28,7.051616520211264e-28,7.21013957234309e-28
-2.541098841762901e-21,9.465094019939042e-13,1.2407709188295415e-24,9.24092843892238e-13,2.245627618721283e-13,4.923518403925002e-09,8.855972252080846e-13,9.055057915220807e-13
-3.3881317890172014e-20,5.085653840633913e-13,6.617444900424221e-23,4.965208280890176e-13,1.2065896760191493e-13,4.865338893626211e-13,1.0244373581048528e-07,4.865338893659298e-13
-6.617444900424222e-24,2.8025157898528777e-12,4.0389678347315804e-27,2.7361426952944644e-12,6.649069566905329e-13,2.6811083684923435e-12,2.6221611764990174e-12,2.6811083684923423e-12
-5.955700410381799e-23,4.935805936334241e-14,1.2924697071141057e-26,2.241373477101393e-12,7.101880320822746e-11,2.089122651733333e-12,2.0431909335318313e-12,2.089122651733307e-12
-1.7256332301709633e-31,6.426009217631284e-20,1.2037062152420224e-34,6.273819489038374e-20,1.5245938124704833e-20,6.147628909632168e-20,6.012466353019962e-20,6.147628909632166e-20
