Intercept,input1,input2,input3,input4,input5,input6,input7
1.3565762045869654e-22,1.8856829599640805e-13,-2.5849394142282115e-26,3.966899466794842e-11,1.5749441132603612e-13,2.869870226748431e-12,2.1827232095169432e-12,2.8698702267484263e-12
8.809142651444724e-20,3.429776530496627e-14,-2.6469779601696886e-23,3.429565614639329e-14,2.864588832323003e-14,2.5264393915199992e-14,1.921521692158497e-14,9.843606845447994e-08
-8.940696716308594e-08,3.161274332714487e-11,1.546140993013978e-11,4.638422979041934e-11,49411.68139185408,-1.807620719773695e-11,7.105427357601002e-11,8.526512829121202e-13
2.183756817139993e-22,3.032355231776017e-13,-6.462348535570529e-27,6.379146764042248e-11,2.532657993415212e-13,4.615020754477374e-12,3.510023839863078e-12,4.6150207544773856e-12
7.444625512977249e-24,3.032534450869104e-13,-5.553580772755923e-28,3.032347965812377e-13,2.532807679264799e-13,4.615293512702479e-12,3.5102312902570176e-12,4.615293512702476e-12
-1.0587911840678754e-22,3.429776531511991e-14,3.877409121342317e-26,3.429565618153554e-14,2.8645888374725255e-14,2.4927903560844876e-10,1.9215216920757788e-14,2.5264393900632242e-14
1.3234889800848443e-23,1.433108530841689e-14,1.9387045606711586e-26,1.433020402142954e-14,1.1969487407239556e-14,1.0556553201894917e-14,1.3013813862124555e-10,1.055655320199993e-14
3.308722450212111e-24,8.891232893068164e-12,1.6155871338926322e-27,8.890686128605148e-12,7.426060054566148e-12,6.549453237228761e-12,4.98128572410851e-12,6.549453237228745e-12
-1.4901161193847656e-07,3.81921302428605e-11,2.3646862246096134e-11,5.3660187404602766e-11,78246.23995665892,1.6825651982799172e-11,1.177795638795942e-10,-1.6711965145077556e-11
3.0814879110195774e-33,6.191420685014096e-21,0.0,6.1910399449247414e-21,5.171145822290103e-21,4.560719614050921e-21,3.468724286173564e-21,4.560719614050906e-21
