Intercept,input1,input2,input3,input4,input5,input6,input7
-2.6020852139652106e-18,2.1526327068101045e-07,2.752857078576476e-21,4.711049504909252e-06,1.4338575746529815e-12,2.2177636263345206e-07,1.0358376177305586e-07,2.2177636263345208e-07
2.6645352591003757e-15,1.6978039047976686e-06,-1.0367683274392636e-18,8.012539517476597e-12,1.1308984192083971e-11,1.4776570895699837e-10,6.901604826441772e-11,0.003622453268698682
0.00390625,5.402009931029382e-06,-7.62939453125e-06,-5.9604644775390625e-06,21708814420.98787,-9.5367431640625e-07,2.86102294921875e-06,-3.591179847717285e-06
0.0,8.777046137544169e-12,0.0,1.9208617768386717e-10,5.846345295833483e-17,9.042607969731208e-12,4.223476923426143e-12,9.042607969731274e-12
4.336808689942018e-19,1.1843166258190123e-06,-4.235164736271502e-22,5.589210820159271e-12,7.888672141051685e-12,1.2206577702184747e-06,5.701253378644195e-07,1.2206577702184754e-06
6.071532165918825e-18,1.6978039047983114e-06,-5.929230630780102e-21,8.012539677671703e-12,1.1308984497439349e-11,9.172703591597078e-06,6.90160482741586e-11,1.4776571044776312e-10
-6.7220534694101275e-18,4.3565309112785296e-07,2.117582368135751e-21,2.0560016797658628e-12,2.901862837882223e-12,3.791638618741708e-11,2.940824119964469e-06,3.791638618553442e-11
2.895132143935597e-24,4.3737582776056875e-12,-5.083468977050776e-28,2.0641318848569046e-17,2.913337896912363e-17,3.8066321875370747e-16,1.7779409716669924e-16,3.8066321875529954e-16
0.0,7.23359430918724e-11,2.9103830456733704e-11,-8.003553375601768e-11,299905.2752987305,4.3655745685100555e-11,0.0,1.1823431123048067e-11
8.271806125530277e-25,4.341223108418389e-12,-2.281040611253132e-28,2.0487773828969452e-17,2.891666387981899e-17,3.778315711327757e-16,1.7647153641616956e-16,3.778315711328981e-16
