Intercept,input1,input2,input3,input4,input5,input6,input7
4.336808689942018e-18,1.5970816074012624e-06,0.0,3.359990727311023e-06,6.013007483219473e-18,3.2415453848080268e-06,3.1350892916801667e-06,3.2415453848080335e-06
2.168404344971009e-19,6.825771769547877e-10,-3.1763735522036263e-22,6.367358422747389e-18,2.1903742620404173e-21,6.183843440768825e-18,5.980793761444208e-18,1.0780149218939458e-06
1.1920928955078125e-06,2.822138713907618e-10,2.0372681319713593e-10,6.548361852765083e-10,2035346.4027577145,-1.0222720447927713e-09,-1.433363649994135e-09,-1.2369127944111824e-10
6.938893903907228e-18,2.661757314095971e-06,2.541098841762901e-21,5.599889105396061e-06,1.0022146771472085e-17,5.402483565649749e-06,5.225059767642177e-06,5.402483565649753e-06
5.820766091346741e-10,284.4418211651093,-6.394884621840902e-14,2.6533581074517087e-06,1.0711123099582665e-09,579.1498856039084,560.1299346737779,579.1498856039091
2.541098841762901e-21,6.825771769550221e-10,1.137373342260413e-24,6.367284131588624e-18,2.5701212490361483e-21,2.7296839308740875e-09,5.9808783406618415e-18,6.1839660444452416e-18
1.0587911840678754e-21,3.6268234923773927e-10,-1.550963648536927e-25,3.3832085651076506e-18,1.3656654978022453e-21,3.285805204546176e-18,1.8122154190094035e-09,3.2858051011485994e-18
1.6543612251060553e-24,3.4499241515132323e-12,2.078189090780319e-28,3.218192366653468e-20,1.2995523052189484e-23,3.1255391099295717e-20,3.022892826983298e-20,3.12553921883964e-20
1.1920928955078125e-06,8.297910861369729e-10,2.6193447411060333e-10,2.6193447411060333e-10,3336587.0611204593,-1.4988472685217857e-09,-8.36735125631094e-10,-1.1641532182693481e-10
2.68833699079734e-24,3.4498915369794643e-12,8.557794777172784e-29,3.2181619883307324e-20,1.2995377495345877e-23,3.125509553245233e-20,3.022864197006756e-20,3.1255096577833724e-20
