Intercept,input1,input2,input3,input4,input5,input6,input7
-5.293955920339377e-23,5.63225372907926e-16,-1.2924697071141057e-26,8.63006266528411e-11,5.310396814626752e-16,4.884497184501902e-11,4.264474710251758e-11,4.884497184501906e-11
0.0,1.6042624678376065e-15,-8.470329472543003e-22,1.6042216656587087e-15,1.5125880267681828e-15,1.4029770929540296e-15,1.2248862982114448e-15,4.6157901070656134e-06
3.725290298461914e-08,9.40567497404823e-13,-1.4551915228366852e-11,-3.456079866737127e-11,121962.90468790835,3.637978807091713e-11,-4.3655745685100555e-11,-1.0913936421275139e-11
0.0,8.944316891046897e-16,-1.9387045606711586e-26,1.3704996078284728e-10,8.43319108346033e-16,7.756839938981779e-11,6.772211448133291e-11,7.756839938981792e-11
-3.970466940254533e-23,8.944526341326773e-16,1.2924697071141057e-26,8.944296604875767e-16,8.433388565173694e-16,7.757021582003986e-11,6.772370033970327e-11,7.757021582004005e-11
-8.470329472543003e-22,1.6042634459586113e-15,0.0,1.604222245305523e-15,1.5125873079482305e-15,1.1687824822997569e-08,1.2248879072845314e-15,1.4029773837080149e-15
-8.470329472543003e-22,7.694815596001935e-16,3.1019272970738538e-24,7.694617984291651e-16,7.255092930595114e-16,6.729351212461734e-16,7.004530132235659e-09,6.729351263126546e-16
3.308722450212111e-24,5.315262407924215e-12,0.0,5.315125887463893e-12,5.011520062615372e-12,4.648359315280244e-12,4.058311428056892e-12,4.648359315280253e-12
1.1920928955078125e-07,2.1577439690761575e-11,-5.820766091346741e-11,-6.366462912410498e-11,190668.51094068712,-2.9103830456733704e-11,-3.637978807091713e-11,-7.275957614183426e-12
-6.018531076210112e-36,1.7476186743378772e-23,-8.816207631167156e-39,1.7475737874277713e-23,1.6477504544626842e-23,1.5283459067430522e-23,1.3343425580226162e-23,1.5283459067430534e-23
