Intercept,input1,input2,input3,input4,input5,input6,input7
1.0587911840678754e-22,5.0997116182058386e-14,-2.5849394142282115e-26,5.273305036283396e-11,4.929822434716829e-14,4.471109156694822e-11,4.260531417255918e-11,4.47110915669481e-11
9.75781955236954e-19,4.216810282792807e-14,-1.0587911840678754e-22,4.216744151948885e-14,4.07633371845007e-14,4.01716143009345e-14,3.8279633976840576e-14,1.5691080895862107e-06
-2.2351741790771484e-08,1.7300032798935697e-11,1.8189894035458565e-12,-1.318767317570746e-11,76235.22854867716,-2.4556356947869062e-11,5.9117155615240335e-12,5.4569682106375694e-12
2.117582368135751e-22,7.543218477190761e-14,-2.5849394142282115e-26,7.799988502007352e-11,7.291927556464088e-14,6.613423606918608e-11,6.301948367936457e-11,6.613423606918593e-11
1.1911400820763599e-22,7.542741852726308e-14,-1.6155871338926322e-26,7.542623588373963e-14,7.291466810029972e-14,6.613488832780523e-11,6.302010521828065e-11,6.613488832780503e-11
3.3881317890172014e-21,4.2168103345947755e-14,4.1359030627651384e-25,4.216744218169863e-14,4.0763336729551364e-14,3.973240293082149e-09,3.827963434288092e-14,4.0171614021761044e-14
1.4823076576950256e-21,2.207544241917096e-14,0.0,2.207509629243699e-14,2.1340032428997133e-14,2.1030259412244747e-14,2.5989141783866972e-09,2.1030259409711506e-14
1.6543612251060553e-23,5.022799896722233e-12,-4.6448130099413175e-27,5.0227211431077725e-12,4.855472910960903e-12,4.784990614953385e-12,4.5596298662844555e-12,4.784990614953374e-12
-4.470348358154297e-08,5.663827208628865e-11,-3.637978807091713e-12,-1.5006662579253316e-11,111150.69246363052,-2.4101609596982598e-11,2.1373125491663814e-11,2.8194335754960775e-11
4.622231866529366e-33,1.733855923733728e-21,-6.58276836460481e-37,1.7338287382149405e-21,1.676095134646325e-21,1.6517648509472395e-21,1.5739709756006064e-21,1.651764850947236e-21
