Intercept,input1,input2,input3,input4,input5,input6,input7
1.6940658945086007e-21,1.313909618067344e-11,-2.481541837659083e-24,4.031298615374388e-09,1.257134594733225e-11,3.376027323065914e-09,3.205888773593274e-09,3.3760273230659094e-09
5.551115123125783e-17,1.9885613103289917e-11,1.3552527156068805e-20,1.9868652238736037e-11,1.902634078187874e-11,1.8871446285940443e-11,1.7920399333466134e-11,0.0001684839311330904
-1.430511474609375e-06,-3.876447402904799e-11,1.6298145055770874e-09,-1.8335413187742233e-09,5215365.337699665,-1.280568540096283e-09,4.307366907596588e-09,3.4924596548080444e-10
-5.293955920339377e-23,3.3260304942857987e-13,1.2924697071141057e-26,1.0204828354959477e-10,3.182310213738447e-13,8.546074761653807e-11,8.11538607803496e-11,8.5460747616538e-11
1.0587911840678754e-22,3.3230875036916026e-13,-6.462348535570529e-26,3.320253172876449e-13,3.1794943919820134e-13,8.538512889420898e-11,8.108205294534401e-11,8.538512889420886e-11
1.3552527156068805e-19,1.9885613117102295e-11,-1.5881867761018131e-22,1.9868652262095617e-11,1.902634081026758e-11,4.2664360319314274e-07,1.7920399300653533e-11,1.8871446251873837e-11
2.439454888092385e-19,1.0374288778117043e-11,-1.257314531080602e-22,1.036544033057838e-11,9.926007953287154e-12,9.845199739343852e-12,2.7810114461938337e-07,9.845199739403409e-12
-1.3234889800848443e-23,5.3124681993340134e-12,3.6350710512584224e-27,5.307937084124973e-12,5.082912450724832e-12,5.041532161839318e-12,4.787458694105654e-12,5.04153216183931e-12
-1.6391277313232422e-07,1.2582828435614188e-11,8.003553375601768e-11,-5.093170329928398e-11,143549.95826204072,7.639755494892597e-11,1.3005774235352874e-10,-4.547473508864641e-11
-1.9721522630525295e-31,1.2627975468087693e-19,7.222237291452134e-35,1.2617204803764474e-19,1.2082311145361285e-19,1.1983948340483859e-19,1.1380004298421622e-19,1.198394834048383e-19
