Intercept,input1,input2,input3,input4,input5,input6,input7
-2.168404344971009e-18,2.9438824580999453e-08,8.470329472543003e-22,4.301584159252523e-06,3.5411348762245363e-09,8.87735960682553e-08,6.42479344569661e-08,8.877359606825502e-08
1.5543122344752192e-15,3.259023902628563e-08,-8.673617379884035e-19,2.850558362651242e-09,3.920211956201752e-09,2.1722848863043584e-08,1.572143330803692e-08,0.0012119187643478309
-0.021484375,2.1681616511209916e-05,1.33514404296875e-05,1.811981201171875e-05,19065110267.440834,1.2636184692382812e-05,-1.5735626220703125e-05,-3.814697265625e-06
-6.617444900424221e-23,1.2166159278422748e-12,2.5849394142282115e-26,1.7777122142568304e-10,1.4634419527175844e-13,3.6687392409744776e-12,2.65516920270528e-12,3.668739240974449e-12
6.617444900424221e-23,8.757202961978315e-12,-1.7771458472818954e-26,7.659630275352307e-13,1.0533856996067905e-12,2.6407589620142142e-11,1.9111911223883335e-11,2.640758962014218e-11
1.5178830414797062e-18,3.259023902736096e-08,-4.764560328305439e-22,2.8505583645702613e-09,3.920211954346565e-09,3.0904149470835545e-06,1.5721433307596913e-08,2.172284886446149e-08
6.505213034913027e-19,1.2958053001825761e-08,3.1763735522036263e-22,1.1333972218448757e-09,1.5586971988800871e-09,8.637120663645985e-09,1.5307540625653664e-06,8.637120663645323e-09
4.963083675318166e-24,5.233028904315698e-12,-1.8175355256292112e-27,4.577154006972618e-13,6.294701444477883e-13,3.4880473228926543e-12,2.5243974076672794e-12,3.488047322892656e-12
-1.9371509552001953e-07,2.1111653262884954e-10,1.7462298274040222e-10,2.6921043172478676e-10,268421.6117429595,1.9281287677586079e-10,-2.000888343900442e-10,-3.637978807091713e-12
1.2924697071141057e-26,1.0140559819633951e-14,-4.338734978715565e-30,8.869605893654545e-16,1.21978681393909e-15,6.759135708640291e-15,4.891775564218175e-15,6.759135708640288e-15
