Intercept,input1,input2,input3,input4,input5,input6,input7
8.470329472543003e-22,2.6339515600045774e-16,6.979336418416171e-25,6.417817556350883e-09,2.5448798435654616e-16,2.1174794939936553e-09,1.7274241000463158e-09,2.117479493993656e-09
1.6653345369377348e-16,1.0882644693952494e-15,5.421010862427522e-20,1.0873497469175014e-15,1.0515541345665347e-15,8.797013139640042e-16,7.169964491918202e-16,0.0007168552610665844
-3.814697265625e-06,2.168189602583077e-09,4.656612873077393e-10,9.66247171163559e-09,8994858.638197321,-1.5279510989785194e-09,-3.4924596548080444e-09,-3.259629011154175e-09
3.970466940254533e-23,3.218038720881936e-18,1.241982609179961e-26,7.840989078255663e-11,3.1092150750896073e-18,2.5870373285081367e-11,2.110485906314887e-11,2.5870373285081357e-11
0.0,3.212239131606921e-18,2.4233807008389483e-26,3.2078631465704125e-18,3.103611599369467e-18,2.5823749237151448e-11,2.106682350990535e-11,2.5823749237151448e-11
0.0,1.088078575469989e-15,2.845501307182415e-22,1.0865955070913633e-15,1.0512828259430622e-15,1.8151773632062078e-06,7.178384561896726e-16,8.799273824254149e-16
6.505213034913027e-19,4.876596020361206e-16,-1.0587911840678754e-22,4.869952998337597e-16,4.711686811202152e-16,3.9436950577495193e-16,1.0164791576278416e-06,3.9436964639565607e-16
-6.617444900424222e-24,5.315275127045083e-12,5.2506581851510546e-27,5.308034211626822e-12,5.1355297451338934e-12,4.298455563081233e-12,3.5066482361254577e-12,4.298455563081227e-12
-7.450580596923828e-09,2.0979890180398973e-11,1.4551915228366852e-11,6.184563972055912e-11,111691.9599218196,-3.54702933691442e-11,-3.456079866737127e-11,-1.4551915228366852e-11
-7.222237291452134e-35,3.7176597103973174e-23,8.816207631167156e-39,3.712595201247094e-23,3.591940505184188e-23,3.0064662095269904e-23,2.4526528833187243e-23,3.006466209526991e-23
