Intercept,input1,input2,input3,input4,input5,input6,input7
-5.421010862427522e-20,7.908279211272622e-08,-1.7536228986124187e-22,2.931710058028604e-07,2.435660046573033e-10,2.0134384956783388e-07,1.7076545790639225e-07,2.1145753585721785e-07
2.168404344971009e-18,4.6445555508825795e-09,-3.1763735522036263e-21,4.341485603194434e-09,1.4304702815377552e-11,3.534523808273277e-09,2.8160608452130137e-09,7.568575450036115e-06
-4.76837158203125e-07,1.3517693862755123e-09,-6.984919309616089e-10,-6.402842700481415e-10,5352327.190795705,-2.3283064365386963e-10,-1.5133991837501526e-09,-4.0745362639427185e-10
5.421010862427522e-20,4.4875341641248645e-08,-1.4889251025954498e-22,1.663591875456142e-07,1.3821094803538026e-10,1.1425208689953065e-07,9.690045153123058e-08,1.1999107404659018e-07
8.131516293641283e-20,4.787055093501096e-08,-1.4889251025954498e-22,4.4746866610704806e-08,1.474358519785643e-10,1.2211641710912454e-07,1.0357564179571048e-07,1.2825691013551836e-07
-3.3881317890172014e-21,4.490435583048991e-09,-1.6543612251060553e-24,4.197422384618935e-09,1.3830030843816116e-11,2.1937447777424197e-08,2.722615691606585e-09,3.371393795277455e-09
1.0164395367051604e-20,2.0606198106563323e-09,-9.098986738083304e-24,1.9261587343750007e-09,6.3464746374124065e-12,1.568139233296886e-09,1.1868248542279647e-08,1.5471017712173625e-09
-6.617444900424222e-24,4.186247325012595e-12,-1.6124316902717481e-27,3.913083242055563e-12,1.2893165608103181e-14,3.185749567527217e-12,2.5381819748289355e-12,3.143010960968131e-12
-7.152557373046875e-07,7.640637288107934e-10,1.862645149230957e-09,-1.1059455573558807e-09,3325244.606080676,6.984919309616089e-10,-5.820766091346741e-10,-8.440110832452774e-10
2.524354896707238e-29,9.607971607326439e-17,-1.3279286966549991e-31,8.98102519221355e-17,2.9591459718836495e-19,7.31170163071095e-17,5.825451401945239e-17,7.213611076934336e-17
