Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,1.424583462688162e-14,-1.2924697071141057e-26,6.717625102485501e-10,1.3606255551869296e-14,4.714094839163463e-10,4.2888239336065235e-10,4.714094839163458e-10
1.3877787807814457e-17,2.6200213436743668e-14,-1.0164395367051604e-20,2.6196340849180726e-14,2.5023942641611788e-14,2.3896707807273977e-14,2.1740943099700133e-14,3.147977486567623e-05
0.0,2.678484797729053e-10,5.820766091346741e-11,4.3291947804391384e-10,883080.5508404695,-3.4924596548080444e-10,3.92901711165905e-10,5.820766091346741e-11
-5.293955920339377e-23,2.2530253479411688e-15,4.0389678347315804e-26,1.0624143849854897e-10,2.151873825033377e-15,7.45549519793841e-11,6.782915349127961e-11,7.455495197938418e-11
5.293955920339377e-23,2.2525555001269598e-15,-2.4233807008389483e-26,2.2522225685783075e-15,2.1514250714783818e-15,7.45394042277271e-11,6.781500834322997e-11,7.453940422772714e-11
1.3552527156068805e-20,2.6200216280413938e-14,-4.632211430296955e-23,2.6196343831994015e-14,2.5023934908300242e-14,7.971119819845913e-08,2.1740934684791762e-14,2.389672077415726e-14
-1.0164395367051604e-20,1.3095486232866751e-14,9.098986738083304e-24,1.3093550677944717e-14,1.2507553029655737e-14,1.1944144838516994e-14,4.9780454157113136e-08,1.1944144822800563e-14
9.926167350636332e-24,5.315252728642939e-12,6.058451752097371e-28,5.314467125297762e-12,5.07661985723085e-12,4.847941288712813e-12,4.410595742583825e-12,4.84794128871281e-12
8.940696716308594e-08,1.947391481358842e-11,0.0,4.18367562815547e-11,149706.47151405408,-6.002665031701326e-11,1.4551915228366852e-11,-2.000888343900442e-11
0.0,2.3366884915572807e-22,-8.228460455756013e-38,2.3363431250452234e-22,2.2317808394091488e-22,2.1312492924438697e-22,1.9389836831405924e-22,2.131249292443869e-22
