Intercept,input1,input2,input3,input4,input5,input6,input7
3.469446951953614e-18,1.360489626621418e-06,-3.3881317890172014e-21,3.342673768092549e-06,5.03906801649576e-12,3.2035706126864633e-06,3.0756533386436425e-06,3.2035706126864633e-06
-4.336808689942018e-19,6.935469431897141e-10,-3.705769144237564e-22,6.006566054114681e-12,2.5688032777643395e-15,5.795792652324631e-12,5.564369002849443e-12,1.3203767899857993e-06
2.7418136596679688e-06,1.4732015319361064e-10,-3.259629011154175e-09,-1.3460521586239338e-09,2135121.2813695525,2.3283064365386963e-10,-8.149072527885437e-10,1.8335413187742233e-09
1.5612511283791264e-17,2.1596329519798365e-06,-8.470329472543003e-21,5.306139992569074e-06,7.998985895530444e-12,5.08532849040026e-06,4.882273388218891e-06,5.085328490400267e-06
2.220446049250313e-16,0.00024936101459063065,1.0842021724855044e-19,2.1596280112493823e-06,9.23599188069283e-10,0.0005871750895124752,0.0005637294265578838,0.000587175089512476
8.470329472543003e-22,6.935469431891413e-10,3.308722450212111e-24,6.006566054788885e-12,2.56880328541576e-15,3.349159046997517e-09,5.564369003862119e-12,5.795792651580634e-12
8.470329472543003e-22,3.6581018572175e-10,-6.203854594147708e-25,3.168153310500784e-12,1.3549110360403612e-15,3.0569812283070407e-12,2.20629916389021e-09,3.056981228306989e-12
1.4475660719677984e-24,2.9190592070355773e-12,-1.804913751145675e-27,2.5280944739336764e-14,1.081179718091123e-17,2.4393823760318454e-14,2.3419788280486777e-14,2.439382376031952e-14
4.291534423828125e-06,6.586781429566799e-10,-4.889443516731262e-09,-9.240466170012951e-10,3336542.7837384683,0.0,-2.3283064365386963e-09,3.434251993894577e-09
7.754818242684634e-26,2.931286722459454e-13,-2.066815571679051e-28,2.5386842948247775e-15,1.0857086229722602e-18,2.4496005948181972e-15,2.3517890375070754e-15,2.4496005948182832e-15
