Intercept,input1,input2,input3,input4,input5,input6,input7
-3.1763735522036263e-22,2.0725400944924337e-14,4.1359030627651384e-25,5.966906757038307e-10,1.9894757373348378e-14,4.210505064648463e-10,3.835286766847592e-10,4.210505064648464e-10
-6.938893903907228e-18,3.7647813587258424e-14,1.0164395367051604e-20,3.7642876012447535e-14,3.613896054426805e-14,3.437887880767458e-14,3.13152188709709e-14,3.105920467580598e-05
-9.5367431640625e-07,-7.802194003665188e-11,2.0372681319713593e-10,2.764863893389702e-10,788325.798905168,6.912159733474255e-10,-2.1827872842550278e-11,2.6193447411060333e-10
-5.293955920339377e-23,3.277789957402606e-15,3.877409121342317e-26,9.436858228660428e-11,3.14642095931439e-15,6.659051495865222e-11,6.065631483566652e-11,6.659051495865228e-11
-1.3234889800848443e-23,3.277052262277718e-15,3.2311742677852644e-26,3.276622042501783e-15,3.145712829934791e-15,6.657552818445883e-11,6.06426636047906e-11,6.657552818445884e-11
1.3552527156068805e-20,3.764782002364987e-14,1.6543612251060553e-24,3.764287753632102e-14,3.613895085591513e-14,7.864626635765287e-08,3.1315212406554415e-14,3.4378879203894096e-14
-1.3552527156068805e-20,1.883997538210347e-14,2.6469779601696886e-23,1.8837501989997553e-14,1.8084896927521485e-14,1.7204110005177954e-14,4.917465893568346e-08,1.720411002234195e-14
-3.308722450212111e-24,5.315237443920451e-12,8.077935669463161e-27,5.314539645970716e-12,5.102210548631776e-12,4.8537181115432495e-12,4.4211800146034306e-12,4.853718111543253e-12
-7.450580596923828e-08,1.211765238757155e-12,6.548361852765083e-11,1.8189894035458565e-11,133642.93171813997,9.958966984413564e-11,1.4097167877480388e-11,3.456079866737127e-11
-3.851859888774472e-34,3.691703924742893e-22,3.291384182302405e-37,3.6912192684209724e-22,3.5437458638452574e-22,3.371155172470233e-22,3.070735368666362e-22,3.3711551724702347e-22
