Intercept,input1,input2,input3,input4,input5,input6,input7
5.293955920339377e-23,1.6145128858870267e-12,-5.169878828456423e-26,1.1482641109602978e-10,1.5445920411985785e-12,7.636405523619127e-11,6.862152107907089e-11,7.63640552361913e-11
2.168404344971009e-18,1.960775104339985e-12,-2.541098841762901e-21,1.960709037743606e-12,1.875858438668223e-12,1.7667174906933838e-12,1.5875904054028816e-12,3.5820130764394112e-06
-1.4901161193847656e-08,-3.68310164986976e-11,-7.821654435247183e-11,3.6834535421803594e-11,160325.0247141834,-2.717115421546623e-11,7.09405867382884e-11,-1.3642420526593924e-11
0.0,1.4595715785060904e-12,-2.5849394142282115e-26,1.0380676894104927e-10,1.3963608859532591e-12,6.90355621293029e-11,6.203606221813505e-11,6.90355621293028e-11
0.0,1.4594222210523364e-12,-1.2924697071141057e-26,1.459373047095603e-12,1.396217996827793e-12,6.90351851895458e-11,6.203572349621406e-11,6.903518518954577e-11
1.6940658945086007e-21,1.9607751048320875e-12,-2.0679515313825692e-24,1.9607090382209153e-12,1.8758584387684313e-12,9.07191824478406e-09,1.5875904062468126e-12,1.7667174899155755e-12
-2.541098841762901e-21,9.680014119518104e-13,-4.1359030627651384e-25,9.679687959892998e-13,9.260794942176769e-13,8.721984589405689e-13,5.595596441073997e-09,8.721984589390438e-13
0.0,5.0204030580767684e-12,-4.8467614016778965e-27,5.020233899981864e-12,4.80298093307211e-12,4.523534528403071e-12,4.0648943934764076e-12,4.523534528403071e-12
-5.960464477539063e-08,-1.159882219564012e-11,-4.18367562815547e-11,4.9112713895738125e-11,144477.28261630223,-5.5990767577895895e-11,4.547473508864641e-11,6.366462912410498e-12
-1.4791141972893971e-31,8.397055773042891e-20,-2.407412430484045e-35,8.396772841584821e-20,8.033398574838358e-20,7.566000435996274e-20,6.798885376073092e-20,7.566000435996269e-20
