Intercept,input1,input2,input3,input4,input5,input6,input7
-1.3234889800848443e-23,1.2348202535444853e-14,3.3927329811745276e-26,5.148130728489082e-11,1.1912936572674973e-14,4.4451671169132115e-11,4.257442184983433e-11,4.4451671169132044e-11
2.168404344971009e-19,9.837637908649497e-15,-5.293955920339377e-23,9.837488400893846e-15,9.49086830460574e-15,9.414566531160778e-15,9.016976604466004e-15,1.3998366589431256e-06
7.450580596923828e-09,5.93780649009416e-12,1.4551915228366852e-11,-5.4569682106375694e-12,74440.77456998939,-4.3655745685100555e-11,-2.7284841053187847e-11,1.9099388737231493e-11
7.940933880509066e-23,1.9821648136960596e-14,-1.454028420503369e-26,8.263910117297412e-11,1.9122948165406812e-14,7.135495085090434e-11,6.834154259446961e-11,7.135495085090429e-11
1.0587911840678754e-22,1.9821916949686082e-14,6.462348535570529e-27,1.9821613313970292e-14,1.9123207502558703e-14,7.135591853611686e-11,6.834246941313284e-11,7.135591853611679e-11
1.2705494208814505e-21,9.837638304817498e-15,4.1359030627651384e-25,9.837487609643891e-15,9.490868070513626e-15,3.5445907759435057e-09,9.016977171084724e-15,9.414565993855272e-15
8.470329472543003e-22,5.176406410365148e-15,4.1359030627651384e-25,5.176327117325574e-15,4.993941511584656e-15,4.953792590875466e-15,2.330376810210478e-09,4.953792590397252e-15
3.308722450212111e-24,5.31461971588154e-12,1.6155871338926322e-27,5.314538305554385e-12,5.127282890041684e-12,5.086061968407536e-12,4.871271250376453e-12,5.086061968407528e-12
1.4901161193847656e-08,-5.308381639254941e-12,0.0,-1.8189894035458565e-11,117611.63068853242,-3.637978807091713e-11,-5.4569682106375694e-12,2.3646862246096134e-11
1.1555579666323415e-33,4.068157872248835e-22,9.4039548065783e-38,4.0680955554545994e-22,3.9247580010360197e-22,3.893204808933447e-22,3.728789931264411e-22,3.8932048089334482e-22
