Intercept,input1,input2,input3,input4,input5,input6,input7
1.6543612251060553e-23,6.867367456549615e-17,1.6155871338926322e-27,2.716122314675078e-11,6.732910671676369e-17,4.7691028517772145e-12,3.730674786731991e-12,4.769102851777221e-12
0.0,6.35269565363488e-16,1.6940658945086007e-21,6.352641225288846e-16,6.228305258961387e-16,4.868125987975039e-16,3.808175692258405e-16,8.836762610072308e-06
1.1175870895385742e-08,9.522005794231046e-12,3.637978807091713e-12,3.637978807091713e-12,39945.80460661519,-9.094947017729282e-13,-2.091837814077735e-11,5.4569682106375694e-12
2.6469779601696886e-23,1.1417553859260975e-16,-1.2924697071141057e-26,4.5157730400216674e-11,1.119400857766864e-16,7.92901923701559e-12,6.202548586265794e-12,7.9290192370156e-12
-1.6543612251060553e-24,1.1417093541067677e-16,4.0389678347315804e-28,1.141700124824609e-16,1.1193557271238385e-16,7.929082224628437e-12,6.202597858908138e-12,7.92908222462844e-12
8.470329472543003e-21,6.352712053416718e-16,2.895132143935597e-24,6.352660626810113e-16,6.228331604663897e-16,2.2375914170317524e-08,3.808155489147425e-16,4.86815022850289e-16
1.6940658945086007e-21,2.7301513209339534e-16,4.239300639334267e-24,2.7301292541688887e-16,2.6766974718362133e-16,2.0921437776058097e-16,1.2015203686336168e-08,2.0921437772180688e-16
4.963083675318166e-24,5.022936005233459e-12,-8.077935669463161e-28,5.022895401329713e-12,4.924591503502375e-12,3.849128809902655e-12,3.0110165891340083e-12,3.849128809902659e-12
1.862645149230957e-08,1.0638725020027988e-11,-7.275957614183426e-12,7.275957614183426e-12,65327.29841521614,0.0,-2.7057467377744615e-11,0.0
1.504632769052528e-36,2.2797055786887692e-24,1.8367099231598242e-39,2.2796871502346166e-24,2.2350710245164453e-24,1.746962416380397e-24,1.3665774974280625e-24,1.7469624163804024e-24
