Intercept,input1,input2,input3,input4,input5,input6,input7
-6.776263578034403e-21,2.2093122143658684e-10,1.6543612251060553e-24,8.137004482665613e-09,2.0044916649965763e-10,6.950146388074048e-09,6.630410910485612e-09,6.9501463880740504e-09
-6.938893903907228e-17,3.374592175016143e-10,-9.486769009248164e-20,3.3689215388197467e-10,3.0617410444802855e-10,3.2133821374191046e-10,3.065553269267435e-10,0.0001530930441209584
-1.9073486328125e-06,-2.4246848510219625e-09,-2.7939677238464355e-09,7.530616130679846e-09,9682109.515284246,-4.6566128730773926e-09,2.3283064365386963e-10,1.6298145055770874e-09
-1.0587911840678754e-22,6.4205148544597375e-12,-1.1632227364026952e-25,2.364706889865933e-10,5.8252828310394904e-12,2.0197923061818872e-10,1.926873506837653e-10,2.0197923061818898e-10
-5.293955920339377e-23,6.4203490075554855e-12,-6.462348535570529e-26,6.409560305864334e-12,5.825132359442319e-12,2.0200447084046132e-10,1.927114297514272e-10,2.0200447084046145e-10
-2.981555974335137e-19,3.37459217511492e-10,1.852884572118782e-22,3.368921538166249e-10,3.061741044923853e-10,3.879734345643658e-07,3.0655532690202074e-10,3.2133821369122083e-10
0.0,1.7686611500099917e-10,2.6469779601696886e-23,1.7656891063522947e-10,1.6046924062354476e-10,1.6841691827528588e-10,2.540171638146925e-07,1.684169182753322e-10
0.0,5.017672272961535e-12,-3.0292258760486853e-28,5.009240617723986e-12,4.552494746299477e-12,4.777969489086272e-12,4.55816313232847e-12,4.777969489086279e-12
-1.4901161193847656e-07,-8.082278731072225e-11,-8.731149137020111e-11,1.9554136088117957e-10,308179.2349270581,-1.0913936421275139e-10,3.2741809263825417e-11,-7.275957614183426e-12
-1.8932661725304283e-29,8.118186676130058e-18,1.5407439555097887e-33,8.104544941978548e-18,7.365567175782718e-18,7.730367017844797e-18,7.374738164526588e-18,7.730367017844802e-18
