Intercept,input1,input2,input3,input4,input5,input6,input7
6.352747104407253e-22,1.886200903458595e-12,-7.754818242684634e-26,6.233653466345924e-10,1.8147892724783312e-12,4.337841674514818e-10,3.9385417034746265e-10,4.337841674514817e-10
1.3877787807814457e-17,3.2273305869190697e-12,0.0,3.2268892944412e-12,3.105143731049298e-12,2.9377700005548156e-12,2.6673471425169145e-12,3.218607605751477e-05
3.5762786865234375e-07,-1.1655853556052943e-10,-1.7462298274040222e-10,-8.731149137020111e-11,819092.9319277054,-5.820766091346741e-11,7.275957614183426e-11,-4.0745362639427185e-10
1.0587911840678754e-22,2.6990636553794816e-13,1.6155871338926322e-26,8.920061208959139e-11,2.5968770126960426e-13,6.207244830073582e-11,5.6358655896901746e-11,6.207244830073578e-11
2.6469779601696886e-23,2.698178671998724e-13,0.0,2.6978097196367023e-13,2.5960255348172526e-13,6.205659070549988e-11,5.6344257999320444e-11,6.205659070549981e-11
-1.3552527156068805e-20,3.227330588915542e-12,1.3234889800848443e-23,3.2268892796625842e-12,3.1051437419813168e-12,8.150255768251385e-08,2.6673471597049005e-12,2.9377700024234166e-12
6.776263578034403e-21,1.6098375566904569e-12,6.617444900424222e-24,1.6096174254672628e-12,1.5488890515126037e-12,1.4654006933971537e-12,5.0795865063906955e-08,1.4654006933789558e-12
1.6543612251060553e-24,5.022512971557235e-12,-1.6155871338926322e-27,5.021826186783783e-12,4.832360457973085e-12,4.571886126353353e-12,4.1510422747722246e-12,4.57188612635335e-12
-4.470348358154297e-08,1.392134613057079e-12,1.4551915228366852e-11,3.637978807091713e-11,126235.01241676864,-5.4569682106375694e-12,6.002665031701326e-11,-8.003553375601768e-11
-9.860761315262648e-32,1.1470690998013715e-19,-4.81482486096809e-35,1.1469122481224793e-19,1.103641024290735e-19,1.0441524657176796e-19,9.480378353077884e-20,1.044152465717677e-19
