Intercept,input1,input2,input3,input4,input5,input6,input7
-8.673617379884035e-19,5.129954045990007e-11,-4.235164736271502e-22,6.907122228692576e-07,2.140392246165811e-11,4.773225266415837e-07,4.327817525893383e-07,4.773225266415834e-07
0.0,3.4477678369863346e-11,1.6940658945086007e-21,3.24751777233536e-11,1.4385266379139509e-11,2.997210117140055e-11,2.7175290798226614e-11,2.9972511956232098e-05
3.2526065174565133e-19,2.9896632023534564e-11,-6.352747104407253e-22,4.7150062722559664e-08,1.1740995688455636e-06,3.2589214811420887e-08,2.954819166158425e-08,3.258921481142094e-08
1.6940658945086007e-21,3.9070114171388437e-13,0.0,5.26051601345847e-09,1.6301387630245236e-13,3.635324107269778e-09,3.2960982366454776e-09,3.6353241072697768e-09
-3.2311742677852644e-27,3.244894545299036e-19,1.67632942359465e-30,3.0564275788795853e-19,1.3538809630950086e-19,3.0192497811342044e-15,2.7375121408535745e-15,3.0192497811342056e-15
-2.6020852139652106e-18,3.447767837623837e-11,0.0,3.247517772864756e-11,1.4385266378504234e-11,1.1100949225482988e-05,2.717529080741866e-11,2.997210116218907e-11
-1.3010426069826053e-18,1.717401641804172e-11,9.727644003623605e-22,1.617653106582314e-11,7.165586912527154e-12,1.49296989116528e-11,2.48832830452817e-06,1.4929698910968103e-11
1.3234889800848443e-23,3.135199786183008e-11,-3.2311742677852644e-26,2.9531040093892515e-11,1.3081125585889322e-11,2.7254887672034685e-11,2.4711630805109242e-11,2.725488767203467e-11
3.3881317890172014e-21,1.7951801981671558e-13,-2.481541837659083e-24,2.8311837559181035e-10,7.0500258858734544e-09,1.9568596575392156e-10,1.774257666236492e-10,1.9568596575392352e-10
0.0,1.7589456088721907e-17,-6.162975822039155e-33,1.656784155430813e-17,7.338922549627458e-18,1.529084851380243e-17,1.3864001485416152e-17,1.5290848513802435e-17
