Intercept,input1,input2,input3,input4,input5,input6,input7
-4.235164736271502e-22,3.7889597416212645e-13,-2.0679515313825692e-25,2.0952800629105935e-09,1.496171844914681e-13,1.1242447927542991e-10,8.515501928165644e-11,1.124244792754294e-10
1.3552527156068805e-20,7.867378943202139e-14,5.790264287871194e-24,6.587439292564375e-14,3.106644479784715e-14,5.692213203406982e-14,4.311521194089092e-14,9.185479922232352e-09
-5.505714157152952e-21,1.941452490366703e-13,-1.7577588016751838e-24,7.974562880115368e-11,3.0339186683115278e-09,4.4008150186756874e-12,3.333362006081269e-12,4.400815018675998e-12
-4.235164736271502e-22,6.21794473847047e-13,4.1359030627651384e-25,3.4384993589896e-09,2.455321377199417e-13,1.8449633858793586e-10,1.3974527052387445e-10,1.8449633858793597e-10
5.048709793414476e-29,7.901279462775514e-19,-1.232595164407831e-32,6.615824553893331e-19,3.120031005117751e-19,2.344435649326526e-16,1.775773961415466e-16,2.3444356493265245e-16
5.717472393966527e-21,7.86737894328736e-14,1.2407709188295415e-24,6.587439291809573e-14,3.106644480177626e-14,3.4020654406877196e-09,4.311521194414794e-14,5.692213204104916e-14
-2.541098841762901e-21,3.273831214438796e-14,-6.203854594147708e-25,2.7412133737169735e-14,1.2927596022461892e-14,2.3686853531367394e-14,6.370688311829094e-10,2.368685353198778e-14
5.293955920339377e-23,3.632312277743775e-11,2.5849394142282115e-26,3.041373345635477e-11,1.4343154143861222e-11,2.6280538995649747e-11,1.9905983281667332e-11,2.6280538995649728e-11
-7.623296525288703e-21,3.13853260041006e-13,-1.4475660719677984e-24,1.289159827367213e-10,4.904602453432587e-09,7.11431336744096e-12,5.3886795463439414e-12,7.1143133674408566e-12
1.232595164407831e-32,1.530780694669971e-20,1.504632769052528e-35,1.2817388062445172e-20,6.0446959912093615e-21,1.1075518475259196e-20,8.389062554645539e-21,1.1075518475259187e-20
