Intercept,input1,input2,input3,input4,input5,input6,input7
-8.809142651444724e-20,3.4878370967162623e-09,4.632211430296955e-23,1.5468027297485345e-08,8.023651941764368e-22,1.4805163590303705e-08,1.4186677836930269e-08,1.4805163590303635e-08
-5.014435047745458e-19,2.978466283501354e-09,3.3087224502121107e-22,1.7041574979817476e-20,5.823351512373315e-22,8.055548026184413e-19,7.716155820853906e-19,1.2696466838479369e-07
-1.1011428314305904e-20,3.518887909721739e-10,6.2038545941477076e-24,1.5409530061650007e-09,1.827633799808125e-09,1.4749173183170024e-09,1.4133026429222463e-09,1.4749173183169924e-09
-1.6263032587282567e-19,5.820347983716735e-09,7.279189390466644e-23,2.5812358489378832e-08,1.344995676011223e-21,2.470620090959793e-08,2.3674099292525915e-08,2.4706200909597773e-08
-5.856503360360792e-27,2.237011957763093e-16,3.944304526105059e-30,1.285646060283944e-27,4.8219122831634347e-29,9.767524277951212e-16,9.35948592195503e-16,9.767524277951151e-16
-7.453889935837843e-20,2.978466283501156e-09,4.963083675318166e-23,1.7141663833936393e-20,6.418921553411495e-22,4.702395125413423e-08,7.71515906821578e-19,8.051114338101129e-19
-5.929230630780102e-21,1.567967416197175e-09,1.6543612251060553e-24,9.00877235252674e-21,3.4927701365051594e-22,4.2384217599334292e-19,1.1139763673247604e-08,4.238415556078835e-19
-8.437242248040882e-23,2.703875857031462e-11,5.128812232979124e-26,1.553547199246047e-22,5.9394578543243255e-24,7.309022621926063e-21,7.00365531422425e-21,7.30894307199823e-21
-2.286988957586611e-20,5.776039639307434e-10,1.1580528575742387e-23,2.529380268501593e-09,2.999949286439344e-09,2.420986719060821e-09,2.3198499916135024e-09,2.4209867190607995e-09
-8.271806125530277e-23,2.7036777780567484e-11,4.828354405829489e-26,1.5534445054289552e-22,5.939614809448775e-24,7.308484020825542e-21,7.003138058916914e-21,7.308408377483514e-21
