Intercept,input1,input2,input3,input4,input5,input6,input7
-2.168404344971009e-19,1.5211086117511926e-11,6.452008777913616e-23,2.3050331244251434e-07,5.938979710845459e-12,1.8462535457037175e-07,1.7327703248081387e-07,1.8462535457037178e-07
1.0408340855860843e-17,2.0384617831767947e-11,-6.776263578034403e-21,1.9090259692576364e-11,7.958920931981696e-12,1.8123744151468584e-11,1.7009736349430485e-11,1.907326107574559e-05
5.421010862427522e-20,5.999711710003066e-12,-2.6469779601696886e-23,1.1930635358313124e-08,2.678037885676407e-07,9.556759742632702e-09,8.969336699116785e-09,9.55675974263259e-09
1.6940658945086007e-21,3.851513563945965e-13,4.3943970041879595e-25,5.836444732146026e-09,1.503775649923778e-13,4.674794764051693e-09,4.38745028307026e-09,4.674794764051694e-09
-8.077935669463161e-28,2.883127186635833e-19,-6.409494854920721e-31,2.7000578157214936e-19,1.1256812125622334e-19,3.4994107257464487e-15,3.284313291638136e-15,3.499410725746449e-15
-6.5052130349130266e-18,2.0384617843122817e-11,4.235164736271502e-22,1.9090259690974943e-11,7.958920938440322e-12,7.064182180040989e-06,1.7009736347207024e-11,1.8123744151468584e-11
-5.421010862427522e-19,1.0510638090086083e-11,2.117582368135751e-22,9.843246130361663e-12,4.103748140256831e-12,9.344895112563027e-12,1.639087441273494e-06,9.344895113238007e-12
-2.6469779601696886e-23,3.135243102223645e-11,4.0389678347315804e-27,2.936165175667223e-11,1.22411674149448e-11,2.7875108716841684e-11,2.616171614009464e-11,2.7875108716841635e-11
-2.541098841762901e-21,1.6520121992451263e-13,2.0679515313825692e-24,3.2850837022321367e-10,7.3739397341196015e-09,2.6314403829964545e-10,2.4696942723649697e-10,2.631440382996448e-10
-9.860761315262648e-31,7.1428920670634225e-19,2.407412430484045e-34,6.689341227156057e-19,2.7888535200919634e-19,6.350668398914343e-19,5.960313397876897e-19,6.350668398914342e-19
