Intercept,input1,input2,input3,input4,input5,input6,input7
1.3877787807814457e-17,5.39103523257995e-08,-1.3552527156068805e-20,0.00020027513584036644,1.8455011992089327e-09,5.621079849173549e-06,4.150453036760371e-06,5.621079849173615e-06
-3.469446951953614e-17,4.7427512601446004e-08,4.0657581468206416e-20,3.4370431099436623e-09,1.6235755770036963e-09,3.216759381195843e-08,2.3751679571254518e-08,0.00010322294032326253
7.771561172376096e-16,4.5690845507827435e-08,-2.168404344971009e-19,3.950533861883028e-05,0.0006252020701834256,1.1324942836869944e-06,8.362030899691076e-07,1.1324942836866958e-06
8.470329472543003e-22,2.229097858321683e-12,-1.6543612251060553e-24,8.281023163766904e-09,7.630821527404135e-14,2.3242172444956956e-10,1.7161390301057812e-10,2.3242172444957152e-10
0.0,1.1760012611702212e-18,0.0,8.52240990574495e-20,4.0257791764365454e-20,1.226183229487836e-16,9.053804687013302e-17,1.2261832294878372e-16
6.938893903907228e-18,4.742751260144377e-08,2.5940384009662948e-21,3.4370431099504386e-09,1.6235755770364725e-09,3.82509723084232e-05,2.375167957126021e-08,3.216759381194628e-08
-4.336808689942018e-19,1.9239020028319164e-08,1.2705494208814505e-21,1.3942401277980178e-09,6.586051287735481e-10,1.3048818031246918e-08,6.986209018312509e-06,1.3048818031248714e-08
6.617444900424222e-24,3.128371437916352e-11,9.693522803355793e-27,2.2671118315669363e-12,1.0709284935978092e-12,2.121810236042953e-11,1.56668718002794e-11,2.1218102360429556e-11
1.1858461261560205e-20,6.442848023713212e-13,-3.7223127564886245e-24,5.5706321478071e-10,8.81594962301946e-09,1.5969257028231107e-11,1.1791266643787962e-11,1.596925702822741e-11
0.0,6.06214924982369e-14,9.466330862652142e-30,4.3932028410775374e-15,2.0752421804499124e-15,4.1116378236924554e-14,3.035921949038306e-14,4.1116378236924554e-14
