Intercept,input1,input2,input3,input4,input5,input6,input7
4.336808689942018e-19,1.1108127034368775e-15,1.3234889800848443e-22,3.9915665295956007e-07,4.859502001431908e-16,9.46904428689687e-08,7.530460610161149e-08,9.469044286896853e-08
2.7755575615628914e-17,4.7224393396531335e-15,6.776263578034403e-21,4.476132057238194e-15,2.0659370752757616e-15,3.64190947745949e-15,2.8962834734691523e-15,7.497162070915227e-05
6.505213034913027e-19,5.451521824478926e-16,-6.617444900424221e-23,2.039913519688804e-08,5.480468595178758e-07,4.839210966720677e-09,3.848486337694664e-09,4.839210966720624e-09
8.470329472543003e-22,1.3575847823821848e-17,8.271806125530277e-25,4.878311352751524e-09,5.9390637403118265e-18,1.1572635931776866e-09,9.203386994458816e-10,1.1572635931776857e-09
1.4136387421560532e-27,1.2157695769383409e-23,2.9582283945787943e-31,1.152355122331815e-23,5.318661840878019e-24,1.0363742623461847e-15,8.241988656428971e-16,1.0363742623461843e-15
1.3877787807814457e-17,4.722436793213767e-15,3.044024654195142e-21,4.476130614635206e-15,2.0659402648842037e-15,2.776726693160871e-05,2.8963082293305248e-15,3.641901589465169e-15
2.6020852139652106e-18,2.0632868275347436e-15,1.0587911840678754e-21,1.955663391119941e-15,9.026309987719905e-16,1.5911884598619935e-15,5.459311707077561e-06,1.5911881314712903e-15
5.293955920339377e-23,3.135601883882677e-11,2.2214323091023692e-26,2.9720488307973565e-11,1.3717406944622532e-11,2.4181487919164515e-11,1.9230847037260162e-11,2.4181487919164505e-11
3.3881317890172014e-21,6.7731878552518994e-18,6.203854594147708e-25,2.534469891389511e-10,6.809152697466001e-09,6.012428651929737e-11,4.781512871094222e-11,6.012428651929665e-11
7.703719777548943e-34,2.192122601530809e-22,5.583598166405866e-38,2.0777814455120668e-22,9.589941233377539e-23,1.6905458080860182e-22,1.3444428214451604e-22,1.690545808086018e-22
