Intercept,input1,input2,input3,input4,input5,input6,input7
0.0,2.7607271546913565e-10,0.0,2.340828075630167e-08,1.666167192635932e-11,1.901662975000415e-08,1.7897955193338498e-08,1.9016629750004163e-08
-2.710505431213761e-20,1.6087515496464722e-10,6.617444900424221e-23,8.889165571328293e-11,9.709213924187381e-12,9.323280641753206e-11,8.774828209551487e-11,1.8211957119109913e-07
-6.776263578034403e-21,3.788353512522837e-11,8.271806125530277e-25,2.0577679736723443e-09,7.90557895431026e-09,1.673498468415509e-09,1.5750530455489796e-09,1.6734984684155137e-09
1.3552527156068805e-20,4.0097447176498714e-10,9.926167350636332e-24,3.399873470014737e-08,2.4199802171830442e-11,2.7620198018484064e-08,2.599540891654875e-08,2.7620198018484058e-08
0.0,5.18617971788582e-17,3.944304526105059e-31,2.8656264670011534e-17,3.129987868006093e-18,3.572379811037226e-15,3.3622305651461342e-15,3.572379811037224e-15
-1.3552527156068805e-20,1.6087515496459384e-10,-3.308722450212111e-24,8.889165571327269e-11,9.709213924219228e-12,6.751039517111442e-08,8.774828209555664e-11,9.323280641751138e-11
1.6940658945086007e-21,8.3183213338248e-11,1.6543612251060553e-24,4.596293046502206e-11,5.020312884108706e-12,4.8207595685352246e-11,1.573200333180873e-08,4.820759568535173e-11
-6.617444900424222e-24,3.088281115772678e-11,-3.2311742677852644e-27,1.706431435913638e-11,1.8638541182871885e-12,1.7897674472672156e-11,1.684482371419016e-11,1.7897674472672146e-11
3.3881317890172014e-21,5.425778635405082e-11,-3.308722450212111e-24,2.9471889229094434e-09,1.1322576219197746e-08,2.396828122374815e-09,2.2558320219905766e-09,2.3968281223748184e-09
-4.733165431326071e-30,8.224154548578319e-18,2.311115933264683e-33,4.5442611373138896e-18,4.963480897678188e-19,4.766186606900689e-18,4.4858103383634466e-18,4.766186606900689e-18
