Intercept,input1,input2,input3,input4,input5,input6,input7
8.066790008906207e-07,4.692234521570341e-09,-8.188121851408007e-10,4.493212964696074e-08,-9.343621730947842e-10,2.6667528826220407e-08,2.3063924657859722e-08,2.8197759850785986e-08
-8.759051459320097e-07,1.1929370622894579e-08,8.890795542287428e-10,1.566106122059608e-10,1.015580431370513e-09,2.536492698486359e-09,7.866463304666539e-10,8.162401412383434e-07
3.723010115862478e-08,4.099640470641862e-10,-3.7790075667080585e-11,4.023879811401536e-09,4.7693310652024845e-09,2.3881929668111778e-09,2.042937906077606e-09,2.5533043193237605e-09
-1.5705198162311971e-07,2.210544900563109e-09,1.5941418595446706e-10,2.5620229211164884e-08,1.8210596611875632e-10,1.5148550834789107e-08,1.272400872287971e-08,1.6534878739149907e-08
6.034222377023094e-10,4.5159711798415517e-13,-6.124982557747272e-13,-3.528678019765918e-14,-6.991247132323315e-13,3.5690122990380826e-14,4.0043145827914965e-13,-4.684595093670628e-13
-1.0239626396959633e-06,1.1193293955167482e-08,1.0393639670630019e-09,1.6003247299354054e-10,1.1870821535838155e-09,2.8883434543365425e-07,6.205914397100559e-10,2.4583334504807665e-09
1.1278772962385487e-07,5.488223357690311e-09,-1.1448415943444971e-10,3.8657575604714524e-11,-1.3035069626719046e-10,1.117583812520908e-09,5.89027664918934e-08,6.634111110363548e-10
2.5137572683239677e-09,2.8413337410888808e-11,-2.5515664589229824e-12,7.518848392510386e-14,-2.9108416935057985e-12,5.601222831137146e-12,4.548373605527891e-12,1.7335734661121396e-12
-1.7415159800594017e-08,2.2514935827935368e-10,1.76770996085956e-11,2.510595520724182e-09,3.019949453435867e-09,1.4862792479337412e-09,1.2465097674276158e-09,1.6231410790113832e-09
-1.938036913221245e-15,3.162967253482519e-16,1.9671867472023446e-18,2.774241422514491e-18,2.2645254391134724e-18,6.521595502097912e-17,3.323424120569911e-17,4.567126712828203e-17
